,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
37,give two  stars to current  album,,,two,current,album,,stars
38,Rate the current  saga a five,,,five,current,,saga,
39,give 0 rating to She and Allan  book,She and Allan,,0,,book,,
40,Rate the current  series a one,,,one,current,,series,
41,I want to give this  album  3  points,,,3,this,album,,points
42,rate The Cry of the Owl a four,The Cry of the Owl,,four,,,,
43,A novel of this quality deserves your rating of four  points,your,,four,this,novel,,points
44,I gave Joseph Andrews a 0 out of 6,Joseph Andrews,6,0,,,,
45,Give zero / 6  stars to the current  album,,6,zero,current,album,,stars
46,I want to give this  album  zero out of 6  stars,,6,zero,this,album,,stars
47,Swine Not ? deserves four  points,Swine Not,,four,,,,points
48,I rate Naked in Death a 5,Naked in Death,,5,,,,
49,give the current  series  3  points,,,3,current,,series,points
50,the next  album is only one  stars,,,one,next,album,,stars
51,Rate this  book  three  points,,,three,this,book,,points
52,rate this  novel a 3 ,,,3,this,novel,,
53,Rate The Keys to the White House a zero,The Keys to the White House,,zero,,,,
54,Rate An Act of Terror  2  stars .,An Act of Terror,,2,,,,stars
55,I'm rating The Skystone with three  points,The Skystone,,three,,,,points
56,rate Call for the Saint  1 out 6  points,Call for the Saint,6,1,,,,points
57,Rate Merlin Effect a 0 ,Merlin Effect,,0,,,,
58,Give this  album  three out of 6  points,,6,three,this,album,,points
59,The Last Hawk gets a total of 3 out of 6  stars from me,The Last Hawk,6,3,,,,stars
60,0  stars for this  textbook ,,,0,this,textbook,,stars
61,Rate the current  series a one .,,,one,current,,series,
62,I rate American History: A Survey a 5 ,American History: A Survey,,5,,,,
63,Give this current  novel a 4 .,,,4,current,novel,,
64,give this current  novel a three,,,three,current,novel,,
65,the stars for this are 4 for a textbook,,,4,this,textbook,,stars
66,rate the current  chronicle  book  three  points,,,three,current,book,chronicle,points
67,rate The Bunce  1  stars,The Bunce,,1,,,,stars
68,give this  textbook a rating of 3,,,3,this,textbook,,
69,"Another Girl, Another Planet gets only one of a possiable 6 rating","Another Girl, Another Planet",6,one,,,,
70,Rate this  textbook  2 of 6  stars,,6,2,this,textbook,,stars
71,I give The Spirit of St. Louis a 1,The Spirit of St. Louis,,1,,,,
72,Rate the book  Post Office  four  points,Post Office,,four,,book,,points
73,give 5 rating for this  textbook,,,5,this,textbook,,
74,I give this next  essay  zero out of 6  points,,6,zero,next,essay,,points
75,Rate the current  novel  3 of 6  stars,,6,3,current,novel,,stars
76,Rate The Watsons  four of 6  stars,The Watsons,6,four,,,,stars
77,this  novel should get zero  points for how intrepid it is.,how,,zero,this,novel,,points
78,"I didn't like the book  Nobody Lives For Ever , I give it a 2 .",Nobody Lives For Ever,,2,,book,,
79,rate this current  book album  four  stars,,,four,current,book album,,stars
80,Give the current  novel  5  points,,,5,current,novel,,points
81,give Death on the Nile a three,Death on the Nile,,three,,,,
82,Rate The Gorilla Hunters  0  stars,The Gorilla Hunters,,0,,,,stars
83,Rate this current  essay  three out of 6  stars,,6,three,current,essay,,stars
84,this is rated 5 out of 6 for an essay,,6,5,this,essay,,
85,rate the current  album  one  points,,,one,current,album,,points
86,I give a zero rating for this  essay,,,zero,this,essay,,
87,Rate this  book a zero,,,zero,this,book,,
88,Rate the current  album  3 of 6  stars,,6,3,current,album,,stars
89,Rate The Secret of Dr. Honigberger  2  points out of 6,The Secret of Dr. Honigberger,6,2,,,,points
90,Rate this  chronicle  three of 6  stars,,6,three,this,,chronicle,stars
91,"I rate the chronicle , Son of the Tree with four of 6  points .",Son of the Tree,6,four,,,chronicle,points
92,This current  album deserve 0  points and a best rating of 6,,6,0,current,album,,points
93,I rate The Variation of Animals and Plants under Domestication a value of 0,The Variation of Animals and Plants under Domestication,,0,,,,
94,Rate this  textbook a zero,,,zero,this,textbook,,
95,The current  textbook Gets 3  stars,,,3,current,textbook,,stars
96,Rate The Stars Shine Down  5 ,The Stars Shine Down,,5,,,,
97,Give one / 6  points to Who Will Cry When You Die,Who Will Cry When You Die,6,one,,,,points
98,I think this  essay should be given four  points and a best rating of 6,,6,four,this,essay,,points
99,For this current  saga I give 5 out of 6 possiable points ,,6,5,current,,saga,points
100,I give The Lacuna a rating of 5  stars under the chronicle rated at 6,The Lacuna,6,5,,,chronicle,stars
101,give zero point to this  textbook,,,zero,this,textbook,,
102,I give the current  book  two out of 6,,6,two,current,book,,
103,rate this  album book  zero out of 6  points,,6,zero,this,album book,,points
104,I am rating this  book  5 out 6  points,,6,5,this,book,,points
105,rate If Tomorrow Comes  2 of 6  stars,If Tomorrow Comes,6,2,,,,stars
106,rate the current  chronicle series  3 out of 6  points,,6,3,current,,chronicle series,points
107,Rate this  novel  three out of 6,,6,three,this,novel,,
108,I give One Clear Call  zero out of 6  points,One Clear Call,6,zero,,,,points
109,rate The Practice of the Presence of God  one of 6  points,The Practice of the Presence of God,6,one,,,,points
110,give 0 out of 6  points to this  essay,,6,0,this,essay,,points
111,I would give Half a Life  3 out of 6,Half a Life,6,3,,,,
112,rate the Beyond Black  saga a one,Beyond Black,,one,,,saga,
113,Rate this  essay a four,,,four,this,essay,,
114,Rate the current  novel  5 of 6  points,,6,5,current,novel,,points
115,give 5 out of 6  points to Short Trips: A Universe of Terrors,Short Trips: A Universe of Terrors,6,5,,,,points
116,I give this book  Dictionary of the English Language a 4 rating,Dictionary of the English Language,,4,,book,,
117,rate Of Old Hearts and Swords a 0 ,Of Old Hearts and Swords,,0,,,,
118,give the following  essay  one  stars,,,one,following,essay,,stars
119,give one  points to current  book,,,one,current,book,,points
120,rate the current  novel  zero  points,,,zero,current,novel,,points
121,I am giving this  novel  3  stars,,,3,this,novel,,stars
122,And a body to remember with gets a full 5  stars .,And a body to remember with,,5,,,,stars
123,Rate Witchcraft and Paganism in Australia  1  points out of 6,Witchcraft and Paganism in Australia,6,1,,,,points
124,Rate the current  textbook  one of 6  stars,,6,one,current,textbook,,stars
125,rate The White Goddess  2 of 6,The White Goddess,6,2,,,,
126,I am rating this  book under the series section a three out of 6  stars,,6,three,this,book,series,stars
127,Rate the current  essay  5 of 6  points,,6,5,current,essay,,points
128,For this  novel I give a rating of 4 out of 6 ,,6,4,this,novel,,
129,I give Ruled Britannia a rating of five out of 6 .,Ruled Britannia,6,five,,,,
130,Give 4  points / 6 to Last Day in Limbo,Last Day in Limbo,6,4,,,,points
131,I rate 4 of 6  points for this  textbook,,6,4,this,textbook,,points
132,this  book gets a 1 out of 6 rating from me.,,6,1,this,book,,
133,I want to give Think Like a Freak  one  stars,Think Like a Freak,,one,,,,stars
134,rate the current  essay a one,,,one,current,essay,,
135,The Voyage of the Dawn Treader deserves 5  points .,The Voyage of the Dawn Treader,,5,,,,points
136,Award Blood tables  2  points,Blood tables,,2,,,,points
137,Give the current  novel a one out of 6 rating.,,6,one,current,novel,,
138,"Who rated the book Women, Culture, and Society only 3  stars ?","Women, Culture, and Society",,3,,,,stars
139,rate the current  textbook  zero out of 6  points,,6,zero,current,textbook,,points
140,give two out of 6 to current  book,,6,two,current,book,,
141,I give this last  novel only 1  points,,,1,last,novel,,points
142,Rate the current  textbook a 4,,,4,current,textbook,,
143,give four  points to current  essay,,,four,current,essay,,points
144,The Cool World gets 4  points,The Cool World,,4,,,,points
145,rate The Sunrise Lands a zero,The Sunrise Lands,,zero,,,,
146,Rate Lords of the Rim  zero  stars,Lords of the Rim,,zero,,,,stars
147,"Give The Frog Prince, Continued  2  points out of 6 .","The Frog Prince, Continued",6,2,,,,points
148,Rate Sandworms of Dune  three out of 6  stars,Sandworms of Dune,6,three,,,,stars
149,Rate current  book  2 of 6 ,,6,2,current,book,,
150,rate the current  book  5 of 6  points,,6,5,current,book,,points
151,score this  album  5  stars,,,5,this,album,,stars
152,I give The Universe Maker a rating of zero,The Universe Maker,,zero,,,,
153,give 3  points to current  textbook,,,3,current,textbook,,points
154,A Day No Pigs Would Die deserves a best rating of 6 and a value of 4,A Day No Pigs Would Die,6,4,,,,
155,I think the current  album should get a four out of 6 rating.,,6,four,current,album,,
156,"rate Goodbye, Mr. Chips  one  stars","Goodbye, Mr. Chips",,one,,,,stars
157,The current  album deserves 0  stars,,,0,current,album,,stars
158,Give this  chronicle a 4,,,4,this,,chronicle,
159,give one out of 6  points to this  essay,,6,one,this,essay,,points
160,I'd like to give a two rating to The Abolition of Britain .,The Abolition of Britain,,two,,,,
161,rate the current  book  0 of 6 ,,6,0,current,book,,
162,Rate They Came from the Sea  1 of 6  points,They Came from the Sea,6,1,,,,points
163,the stars for Behind the Beat should number four for this chronicle,Behind the Beat,,four,,,chronicle,stars
164,I think Memorial Day should have a rating value of 3 and a best rating of 6,Memorial Day,6,3,,,,
165,I want to give the current  textbook  0  stars,,,0,current,textbook,,stars
166,Glory Season deserves a perfect 5  points .,Glory Season,,5,,,,points
167,give three out of 6  points to this  album,,6,three,this,album,,points
168,I give a rating of four to this  textbook .,,,four,this,textbook,,
169,rate this  essay  four  stars,,,four,this,essay,,stars
170,Rate current  essay a zero,,,zero,current,essay,,
171,rate the current  essay a 0 for me,,,0,current,essay,,
172,give Begums Thugs and White Mughals  four  points,Begums Thugs and White Mughals,,four,,,,points
173,give Portions from a Wine-stained Notebook: Short Stories and Essays  0  points ,Portions from a Wine-stained Notebook: Short Stories and Essays,,0,,,,points
174,I would rate The Kid from Hell a value of 1 and a best rating of 6,The Kid from Hell,6,1,,,,
175,rate the current  novel  five out of 6  stars,,6,five,current,novel,,stars
176,Rate Notes from the Internet Apocalypse  four of 6  stars,Notes from the Internet Apocalypse,6,four,,,,stars
177,Rate this  novel  four of 6,,6,four,this,novel,,
178,Give Letty Fox: Her Luck  4 out of 6  stars,Letty Fox: Her Luck,6,4,,,,stars
179,I give the current  textbook  0 of 6  points,,6,0,current,textbook,,points
180,give this  album a 4 out of 6,,6,4,this,album,,
181,give two  points out of 6 to this  essay,,6,two,this,essay,,points
182,rate the current  saga  4 of 6,,6,4,current,,saga,
183,Rate this  essay with three of 6 .,,6,three,this,essay,,
184,rate the current  essay with 4  points ,,,4,current,essay,,points
185,Rate this  essay a four,,,four,this,essay,,
186,Give this  novel a rating of 1  points .,,,1,this,novel,,points
187,Rate current  book  0,,,0,current,book,,
188,rate Six Months in Mexico  1 out of 6,Six Months in Mexico,6,1,,,,
189,Give two  stars to Scribblings,Scribblings,,two,,,,stars
190,"I want to give Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History  two out of 6  points","Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History",6,two,,,,points
191,Rate this  book  0 of 6  points,,6,0,this,book,,points
192,Rate The War of the Roses  2 out of 6,The War of the Roses,6,2,,,,
193,Rate The Longest Day with zero  stars out of 6 .,The Longest Day,6,zero,,,,stars
194,Give Star Trek: The Motion Picture a five out of 6 .,Star Trek: The Motion Picture,6,five,,,,
195,Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage  one  stars,Colorless Tsukuru Tazaki and His Years of Pilgrimage,,one,,,,stars
196,I only give Blood Work  two  stars,Blood Work,,two,,,,stars
197,rate the current  chronicle a five,,,five,current,,chronicle,
198,give The Last Child  4 of 6 ,The Last Child,6,4,,,,
199,For this current  essay I give 5 of 6  points,,6,5,current,essay,,points
200,Rate my current  textbook  four out of 6,,6,four,current,textbook,,
201,give 4 out of 6  stars to this  textbook,,6,4,this,textbook,,stars
202,Give this  album  0  stars,,,0,this,album,,stars
203,Rate the current  novel  one of 6,,6,one,current,novel,,
204,this  essay is five  stars for sure,,,five,this,essay,,stars
205,Rate this  book a five ,,,five,this,book,,
206,I give The Screaming Staircase a five .,The Screaming Staircase,,five,,,,
207,rate the current  series  1  points,,,1,current,,series,points
208,rate Lost Empires of Faerûn  five of 6  stars,Lost Empires of Faerûn,6,five,,,,stars
209,give 0  points to The Eudaemonic Pie,The Eudaemonic Pie,,0,,,,points
210,The Evil Experiment gets zero out of 6  points,The Evil Experiment,6,zero,,,,points
211,Rate my current  album  5  points,,,5,current,album,,points
212,Rate the current  novel  5 of 6  points,,6,5,current,novel,,points
213,Rate this  novel  1 of 6,,6,1,this,novel,,
214,I would rate this  essay  2  stars and a best rating of 6,,6,2,this,essay,,stars
215,rate my current  novel  four out of 6  stars,,6,four,current,novel,,stars
216,I would say this  essay deserves four  points,,,four,this,essay,,points
217,I would like to rate the book  The Three Impostors  2 to 6  stars .,The Three Impostors,6,2,,book,,stars
218,rate the current  textbook  2 out of 6,,6,2,current,textbook,,
219,Rate this  book  three out of 6,,6,three,this,book,,
220,Rate Mimi and the Biscuit Factory  5 out of 6,Mimi and the Biscuit Factory,6,5,,,,
221,rate Varney the Vampire with 1  points,Varney the Vampire,,1,,,,points
222,Rate The Doors of Perception  3  stars,The Doors of Perception,,3,,,,stars
223,give 4  stars to this  essay,,,4,this,essay,,stars
224,Rate the current  textbook  five of 6,,6,five,current,textbook,,
225,the series  City on Fire is a four,City on Fire,,four,,,series,
226,Rate the Why Is Sex Fun?  saga  two of 6,Why Is Sex Fun?,6,two,,,saga,
227,I want to give Panther in the Basement  four  points,Panther in the Basement,,four,,,,points
228,rate the book  The Ninth Avatar  3 out of 6  stars,The Ninth Avatar,6,3,,book,,stars
229,Give Love in the Time of Foreclosure  4 of 6,Love in the Time of Foreclosure,6,4,,,,
230,Rate the current  textbook  four out of 6,,6,four,current,textbook,,
231,I would rate The Persistence of Vision  1  stars and a best rating of 6,The Persistence of Vision,6,1,,,,stars
232,Give this current  book  zero out of 6,,6,zero,current,book,,
233,I want to rate A Long Short War  series a four out of 6 .,A Long Short War,6,four,,,series,
234,Give Physics of the Impossible  four  points .,Physics of the Impossible,,four,,,,points
235,I want to give this  album  4  stars,,,4,this,album,,stars
236,Add rating of 5 to this  novel,,,5,this,novel,,
237,rate this  album  one  stars,,,one,this,album,,stars
238,For the book  The Sting of the Scorpion I give three of a possiable 6 rating,The Sting of the Scorpion,6,three,,book,,
239,Rate the Rogue Lawyer  4 out of 6,Rogue Lawyer,6,4,,,,
240,Give three  points out of 6 to One Hundred Poems of Tukaram,One Hundred Poems of Tukaram,6,three,,,,points
241,I want to give Elephants Can Remember  4 out of 6  points,Elephants Can Remember,6,4,,,,points
242,Rate this  album  three of 6  points,,6,three,this,album,,points
243,rate This Is How You Die  chronicle a one,This Is How You Die,,one,,,chronicle,
244,rate the book  Giants of the Frost  two out of 6  points,Giants of the Frost,6,two,,book,,points
245,I think this  textbook should have a rating of four and a best rating of 6,,6,four,this,textbook,,
246,I give this  novel a 0 out of 6 rating,,6,0,this,novel,,
247,give zero  points to this  essay,,,zero,this,essay,,points
248,rate this  book  3  stars,,,3,this,book,,stars
249,I would like to rate this  album  3  points and a best rating of 6,,6,3,this,album,,points
250,rate the current  album  5 out of 6  points,,6,5,current,album,,points
251,give Power of Faerûn  two of 6,Power of Faerûn,6,two,,,,
252,rate this  album  2  points,,,2,this,album,,points
253,rate the current  chronicle  0 of 6  stars,,6,0,current,,chronicle,stars
254,Rate this  essay a two out of 6,,6,two,this,essay,,
255,Rate this current  essay  1 out of 6  points,,6,1,current,essay,,points
256,Give this  book  chronicle  four  stars,,,four,this,book,chronicle,stars
257,Rate this  essay  five  points,,,five,this,essay,,points
258,Rate this  essay  five  stars,,,five,this,essay,,stars
259,give this  textbook a 5 out of 6 rating,,6,5,this,textbook,,
260,Rate The Philosophic Thought of Ayn Rand  three of 6  stars,The Philosophic Thought of Ayn Rand,6,three,,,,stars
261,Give The Whisperer a rating of 0 .,The Whisperer,,0,,,,
262,Can you rate this  novel as a four ?,,,four,this,novel,,
263,rate the last  textbook  three  stars,,,three,last,textbook,,stars
264,Please rate Think Like a Freak  3  points out of 6 .,Think Like a Freak,6,3,,,,points
265,the current  book I'm reading should be rated zero out of 6,,6,zero,current,book,,
266,I give The Battle of Bretton Woods  saga  two of 6  stars,The Battle of Bretton Woods,6,two,,,saga,stars
267,Rate this  album  0  points,,,0,this,album,,points
268,give five out of 6  stars to current  essay,,6,five,current,essay,,stars
269,this  saga is definitely worth 4  stars .,,,4,this,,saga,stars
270,gve 2  points to The Stinky Cheese Man and Other Fairly Stupid Tales,The Stinky Cheese Man and Other Fairly Stupid Tales,,2,,,,points
271,"Give The Crisis , one / 6  points",The Crisis,6,one,,,,points
272,I gave Chart Throb  4 of 6  stars,Chart Throb,6,4,,,,stars
273,rate this book called Kings of the High Frontier  four  points,Kings of the High Frontier,,four,,book,,points
274,Give this  book a rating of two out of 6 .,,6,two,this,book,,
275,I give this  album a 0 of 6  stars,,6,0,this,album,,stars
276,I want to rate the Selected Letters of H. P. Lovecraft I  saga  3  stars,Selected Letters of H. P. Lovecraft I,,3,,,saga,stars
277,Rate the current  album a 3 .,,,3,current,album,,
278,"rate the book  series  I, Robot  one out of 6  stars","I, Robot",6,one,,book,series,stars
279,I give this current  textbook  five  stars,,,five,current,textbook,,stars
280,this  chronicle gets a three out of 6 .,,6,three,this,,chronicle,
281,Give this  novel  two  points,,,two,this,novel,,points
282,give one out of 6  points to current  series,,6,one,current,,series,points
283,Rate this  textbook  two out of 6,,6,two,this,textbook,,
284,"For the textbook , out of 6 possible I give the following one a 3 .",,6,3,following,textbook,,
285,Rate this  textbook  1 of 6,,6,1,this,textbook,,
286,rate the current  series a zero,,,zero,current,,series,
287,rate The Detective a 3 out of 6,The Detective,6,3,,,,
288,give 0  points to The Hand in the Glove,The Hand in the Glove,,0,,,,points
289,rate this  novel a 1 of 6 for me,,6,1,this,novel,,
290,I give this  essay  0 of 6  stars,,6,0,this,essay,,stars
291,Rate this  album  3 out of 6,,6,3,this,album,,
292,Rate The Last Opium Den  0  points,The Last Opium Den,,0,,,,points
293,rate the current  essay  2  stars,,,2,current,essay,,stars
294,Give the current  series a one .,,,one,current,,series,
295,Give the current part of the series  1  points .,,,1,current,,series,points
296,Rate In Search of Our Origins  two  points out of 6 .,In Search of Our Origins,6,two,,,,points
297,rate this book  The Book of Snobs  1  points,The Book of Snobs,,1,,book,,points
298,give the Racing the Rain  saga  zero  stars,Racing the Rain,,zero,,,saga,stars
299,Programming the Universe is average and deserves three  stars out of 6 .,Programming the Universe,6,three,,,,stars
300,For this  series I give the rating of four of 6  stars,,6,four,this,,series,stars
301,I think this  book should have a rating value of 1 and a best rating of 6,,6,1,this,book,,
302,I would rate The Door to December  3  points and a best rating of 6,The Door to December,6,3,,,,points
303,this  textbook only gets two out of 6  stars,,6,two,this,textbook,,stars
304,I rate the current  textbook a 0 of 6,,6,0,current,textbook,,
305,Give this  book  1  stars .,,,1,this,book,,stars
306,Give this  book  zero  stars,,,zero,this,book,,stars
307,I am giving Paedophilia: The Radical Case a rating of 2 out of 6  points,Paedophilia: The Radical Case,6,2,,,,points
308,put a rating of 0 out of 6 to this  chronicle,,6,0,this,,chronicle,
309,give 0 to The Sky Village,The Sky Village,,0,,,,
310,I give a rating of 2 to the book Swine Not?,Swine Not?,,2,,,,
311,four out of 6  stars for the previous  essay,,6,four,previous,essay,,stars
312,add five  stars to my current  chronicle,,,five,current,,chronicle,stars
313,I want to rate The Medici Seal  two out of 6  points,The Medici Seal,6,two,,,,points
314,I would give this current  novel  2  stars with a best rating of 6,,6,2,current,novel,,stars
315,Rate the current  book a zero .,,,zero,current,book,,
316,Give The Fox and the Hound a 1,The Fox and the Hound,,1,,,,
317,give 4 out of 6  stars to current  chronicle,,6,4,current,,chronicle,stars
318,five  points for this  novel,,,five,this,novel,,points
319,rate the Broke: Who Killed the Middle Classes?  chronicle a five,Broke: Who Killed the Middle Classes?,,five,,,chronicle,
320,rate this  novel  five  points,,,five,this,novel,,points
321,rate Gray Mountain a zero,Gray Mountain,,zero,,,,
322,rate this  essay  four out of 6,,6,four,this,essay,,
323,I would rate Oblivion: Stories a two,Oblivion: Stories,,two,,,,
324,the last  essay is a 2 out of 6,,6,2,last,essay,,
325,I gave the current  chronicle a 3 of 6,,6,3,current,,chronicle,
326,The Battle for Skies gets a three,The Battle for Skies,,three,,,,
327,I would give the series  History Decoded: The 10 Greatest Conspiracies of All Time a rating of 3  points,History Decoded: The 10 Greatest Conspiracies of All Time,,3,,,series,points
328,Rate Political Liberalism  1 out 6  stars,Political Liberalism,6,1,,,,stars
329,Please rate the current  album  4  stars .,,,4,current,album,,stars
330,Give this  chronicle  4  stars,,,4,this,,chronicle,stars
331,rate the previous  essay  four of 6  points,,6,four,previous,essay,,points
332,I want to give The First Person and Other Stories  0 out of 6  stars,The First Person and Other Stories,6,0,,,,stars
333,rate the current  album  2  points out of 6,,6,2,current,album,,points
334,rate the book  The Egoist  five out of 6,The Egoist,6,five,,book,,
335,give 1 out of 6  points for Collected Works,Collected Works,6,1,,,,points
336,rate this  book a zero,,,zero,this,book,,
337,Rate the current  book  0  stars,,,0,current,book,,stars
338,rate Winnie-the-Pooh  four out of 6,Winnie-the-Pooh,6,four,,,,
339,Rate The Man from the USSR and Other Plays a 0,The Man from the USSR and Other Plays,,0,,,,
340,Give this  book a rating of 3 out of 6  points .,,6,3,this,book,,points
341,rate the book  Oath of Swords  three for 6,Oath of Swords,6,three,,book,,
342,Rate The Strange Death of Tory England  1  stars,The Strange Death of Tory England,,1,,,,stars
343,I am giving the current  book  two  stars,,,two,current,book,,stars
344,rate First Man: The Life of Neil A. Armstrong  three of 6,First Man: The Life of Neil A. Armstrong,6,three,,,,
345,Rate Secret Weapon a four,Secret Weapon,,four,,,,
346,Rate the current  book  zero of 6  stars,,6,zero,current,book,,stars
347,rate the current  textbook  4 of 6  points,,6,4,current,textbook,,points
348,Rate A Division of the Spoils  5  stars,A Division of the Spoils,,5,,,,stars
349,I would rate this  book a value of 3 and a best rating of 6,,6,3,this,book,,
350,rate the book  Strumpet City  zero for 6,Strumpet City,6,zero,,book,,
351,Give five  points to An Ice-Cream War,An Ice-Cream War,,five,,,,points
352,give 3 out of 6  points to The Secrets of Love,The Secrets of Love,6,3,,,,points
353,Give the current  novel  4 of 6  stars,,6,4,current,novel,,stars
354,Rate Renewable Electricity and the Grid  one  stars out of 6,Renewable Electricity and the Grid,6,one,,,,stars
355,Rate my current  book  five  points out of 6,,6,five,current,book,,points
356,give Jackass Investing a three,Jackass Investing,,three,,,,
357,Rate 5 out of 6  points to My Favorite Fantasy Story,My Favorite Fantasy Story,6,5,,,,points
358,rate this  textbook a 4,,,4,this,textbook,,
359,Rate this  essay  4 of 6  stars,,6,4,this,essay,,stars
360,I gave the current  series  0  points,,,0,current,,series,points
361,Rate the At the Villa Rose  series  3 of 6,At the Villa Rose,6,3,,,series,
362,rate this  book  1 out of 6,,6,1,this,book,,
363,put a rating on this  book of three,,,three,this,book,,
364,Rate this  novel  3 out of 6  points .,,6,3,this,novel,,points
365,give 2 out of 6  stars to current  chronicle,,6,2,current,,chronicle,stars
366,This current  book only nets 3 out of 6  points,,6,3,current,book,,points
367,Give this  book  2 out of 6  stars .,,6,2,this,book,,stars
368,Rate the current  book  3 out of 6,,6,3,current,book,,
369,rate Peveril of the Peak a five,Peveril of the Peak,,five,,,,
370,Rate The Empty Throne a 4,The Empty Throne,,4,,,,
371,When Religion Becomes Evil is only worth 1  stars,When Religion Becomes Evil,,1,,,,stars
372,I give the previous  novel  one out of 6  stars .,,6,one,previous,novel,,stars
373,Dragon Age: The Stolen Throne gets 1  points,Dragon Age: The Stolen Throne,,1,,,,points
374,Assign 0  points out of 6 to The Gate of Worlds,The Gate of Worlds,6,0,,,,points
375,I want to give The Cat Who Walks Through Walls a 1,The Cat Who Walks Through Walls,,1,,,,
376,I give the last  textbook  one out of 6  points .,,6,one,last,textbook,,points
377,Give Beauty Is in the Street  three out of 6  stars,Beauty Is in the Street,6,three,,,,stars
378,Rate Making Sense of Marx  2  stars .,Making Sense of Marx,,2,,,,stars
379,give Song of Scarabaeus  five of 6  stars,Song of Scarabaeus,6,five,,,,stars
380,Rate this  essay  1  stars,,,1,this,essay,,stars
381,I'd rate this  essay  1 out of 6,,6,1,this,essay,,
382,I rate Observations  one  points,Observations,,one,,,,points
383,give Wannabe: How The Spice Girls Reinvented Pop Fame  2  points,Wannabe: How The Spice Girls Reinvented Pop Fame,,2,,,,points
384,I give Life During Wartime a one out of 6 .,Life During Wartime,6,one,,,,
385,Rate Cotton Comes to Harlem a 2 ,Cotton Comes to Harlem,,2,,,,
386,Add a rating of zero  points out of 6 to The Inheritance of Loss,The Inheritance of Loss,6,zero,,,,points
387,For the book  The Mirrored Heavens I give one of a possiable 6  stars,The Mirrored Heavens,6,one,,book,,stars
388,I give this  book a 3 out of 6 .,,6,3,this,book,,
389,I would rate this  novel a four,,,four,this,novel,,
390,rate Break No Bones  series a 1 of 6,Break No Bones,6,1,,,series,
391,rate the current  album  5  points,,,5,current,album,,points
392,Give the Televised Morality  series a one .,Televised Morality,,one,,,series,
393,rate this  chronicle a 0,,,0,this,,chronicle,
394,rate the book  saga  A Coin in Nine Hands  0  points,A Coin in Nine Hands,,0,,book,saga,points
395,The Complex: How the Military Invades Our Everyday Lives has a best rating of 6  stars but I will give it zero,The Complex: How the Military Invades Our Everyday Lives,6,zero,,,,stars
