,text,service,sort,genre,artist,track,playlist,year,album,music_item
132,Play a record from the seventies,,,,,,,seventies,,record
133,open the Canciones del Recuerdo playlist and play songs,,,,,,Canciones del Recuerdo,,,
134,Play the top-10  chant by Caetano Veloso on Pandora,Pandora,top-10,,Caetano Veloso,,,,,chant
135,Play Water Under The Bridge by Hariprasad Chaurasia .,,,,Hariprasad Chaurasia,Water Under The Bridge,,,,
136,play Matt Uelmen songs from 1965 on Slacker,Slacker,,,Matt Uelmen,,,1965,,
137,I want to hear Shooby Taylor 's Tearing Up The Album Charts .,,,,Shooby Taylor,,,,Tearing Up The Album Charts,
138,Play Niko from the fourties,,,,Niko,,,fourties,,
139,Play ClÃ¡sicos del Hip Hop EspaÃ±ol,,,,,,ClÃ¡sicos del Hip Hop EspaÃ±ol,,,
140,Play Circus Farm by Deana Carter .,,,,Deana Carter,Circus Farm,,,,
141,play some nineties music,,,,,,,nineties,,
142,play music by Bryan Maclean,,,,Bryan Maclean,,,,,
143,Play POP GOES THE 80s .,,,,,,POP GOES THE 80s,,,
144,Play music from 2015,,,,,,,2015,,
145,Play music from 1964,,,,,,,1964,,
146,Play me songs from agreable,,,,,,agreable,,,
147,Play tune from Sonny Stitt,,,,Sonny Stitt,,,,,tune
148,Play some 50 Shades of Love,,,,,,50 Shades of Love,,,
149,Play some sixties music on Slacker .,Slacker,,,,,,sixties,,
150,Play Tomorrow,,,,,Tomorrow,,,,
151,Can you play a sound track by Sissieretta Jones,,,,Sissieretta Jones,,,,,sound track
152,Play me a nineties  song by Joseph Genaro,,,,Joseph Genaro,,,nineties,,song
153,I want to hear Sarban 's greatest hits,,greatest,,Sarban,,,,,
154,play ray davies on Iheart by only Hit It Again,Iheart,,,ray davies,Hit It Again,,,,
155,Play my 88 Keys playlist.,,,,,,88 Keys,,,
156,Play some Rockwell from around 1996,,,,Rockwell,,,1996,,
157,Play me a top 20  chant by Ruwanga Samath on Lastfm,Lastfm,top 20,,Ruwanga Samath,,,,,chant
158,play something from the twenties,,,,,,,twenties,,
159,Play Ciribiribin by Sandeep Khare,,,,Sandeep Khare,Ciribiribin,,,,
160,play some 1991  Dave Barker,,,,Dave Barker,,,1991,,
161,Play Wynton Kelly music on Netflix sort by popular,Netflix,popular,,Wynton Kelly,,,,,
162,Play bebob on Iheart,Iheart,,bebob,,,,,,
163,Play the top 5 by Akira The Don .,,top 5,,Akira The Don,,,,,
164,play some rap on Pandora,Pandora,,rap,,,,,,
165,Play a melody from Elmer Bernstein,,,,Elmer Bernstein,,,,,melody
166,play The Necromancer,,,,,The Necromancer,,,,
167,Can you play Under The Anheuser Bush by Pete Doherty,,,,Pete Doherty,Under The Anheuser Bush,,,,
168,Play any song from 2001,,,,,,,2001,,song
169,I want to hear some music from Groove Shark,Groove Shark,,,,,,,,
170,Play Sound Of Love from Papa Mali,,,,Papa Mali,Sound Of Love,,,,
171,I wanna hear something on Spotify by Eddie Vinson,Spotify,,,Eddie Vinson,,,,,
172,Play a twenties  track by the aj carothers on Zvooq .,Zvooq,,,aj carothers,,,twenties,,track
173,Play Magic Time by Phoebus,,,,Phoebus,,,,Magic Time,
174,Play Johnny Gimble,,,,Johnny Gimble,,,,,
175,play music from 1981,,,,,,,1981,,
176,play music on Netflix,Netflix,,,,,,,,
177,Play a tune by Andrew Findon,,,,Andrew Findon,,,,,tune
178,"Play the playlist, A Mis NiÃ±os de 30 .",,,,,,A Mis NiÃ±os de 30,,,
179,Play some chanson music,,,chanson,,,,,,
180,Play a movement from 1974 .,,,,,,,1974,,movement
181,Can you play Maggie Mae on Netflix,Netflix,,,,Maggie Mae,,,,
182,Play music by Young Steff,,,,Young Steff,,,,,
183,Play Barbra Streisand music from 1997 .,,,,Barbra Streisand,,,1997,,
184,Play greatest  chant music from Beni Arashiro,,greatest,,Beni Arashiro,,,,,chant
185,play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,Vimeo,,,Sabin Rai,,,,Make The Cowboy Robots Cry,
186,Can you play me songs from the Estado de Ã¡nimo playlist?,,,,,,Estado de Ã¡nimo,,,
187,Play music by Janet Paschal,,,,Janet Paschal,,,,,
188,Play Praise The Lord And Pass The Ammunition .,,,,,Praise The Lord And Pass The Ammunition,,,,
189,Please play Short And Sweet by Teyana Taylor from my itunes .,itunes,,,Teyana Taylor,,,,Short And Sweet,
190,Play fourties music on Pandora .,Pandora,,,,,,fourties,,
191,Play music by Damien Rice,,,,Damien Rice,,,,,
192,Play some Rachel Stevens off of Itunes,Itunes,,,Rachel Stevens,,,,,
193,Play music from the seventies for me.,,,,,,,seventies,,
194,Play some Tony Grant .,,,,Tony Grant,,,,,
195,play Andy White,,,,Andy White,,,,,
196,Use Google Music to play a song,Google Music,,,,,,,,song
197,Play Spotify,Spotify,,,,,,,,
198,Play music from 2007 .,,,,,,,2007,,
199,Play me a song from the sixties,,,,,,,sixties,,song
200,play Robin Trower  Unravel,,,,Robin Trower,Unravel,,,,
201,play the top twenty  movement songs from Roberto Valverde,,top twenty,,Roberto Valverde,,,,,movement
202,Play hanging in the balance by Nik Kershaw on Zvooq .,Zvooq,,,Nik Kershaw,,,,hanging in the balance,
203,Play the album  Vibrations by Marion Elise Raven,,,,Marion Elise Raven,,,,Vibrations,album
204,play a track by Mila Islam from Deezer,Deezer,,,Mila Islam,,,,,track
205,play Jawad Ahmad,,,,Jawad Ahmad,,,,,
206,play fourties tunes by Bryan Webb on Groove Shark,Groove Shark,,,Bryan Webb,,,fourties,,
207,play Party Ben on Slacker,Slacker,,,Party Ben,,,,,
208,Use Groove Shark to play music from the nineties,Groove Shark,,,,,,nineties,,
209,Play eighties music,,,,,,,eighties,,
210,play my Madrugando playlist on Groove Shark,Groove Shark,,,,,Madrugando,,,
211,play Darude,,,,Darude,,,,,
212,Play Shinji Miyazaki 's music on netflix,netflix,,,Shinji Miyazaki,,,,,
213,Play 2gether by Jade Puget,,,,Jade Puget,,,,2gether,
214,play Wow by Jon Theodore,,,,Jon Theodore,Wow,,,,
215,play Doctor Fink  if i could choose,,,,Doctor Fink,if i could choose,,,,
216,Please open pandora for me,pandora,,,,,,,,
217,Can I hear a tune from Vladimir Vysotski ?,,,,Vladimir Vysotski,,,,,tune
218,Please play Different Slanguages by Fred Labour .,,,,Fred Labour,,,,Different Slanguages,
219,play music from the sixties,,,,,,,sixties,,
220,I want to hear Somi 's songs from the twenties,,,,Somi,,,twenties,,
221,play Tom Jones  album from the twenties,,,,Tom Jones,,,twenties,,album
222,play songs on Itunes,Itunes,,,,,,,,
223,play a chant by Sonsee,,,,Sonsee,,,,,chant
224,Play my Piano Ballads playlist.,,,,,,Piano Ballads,,,
225,play the album  a kiss before you go by Bt,,,,Bt,,,,a kiss before you go,album
226,Play the Instrumental Study on Vimeo .,Vimeo,,,,,Instrumental Study,,,
227,Play some salsa music.,,,salsa,,,,,,
228,Play top  Rosanne Cash,,top,,Rosanne Cash,,,,,
229,play Slacker tunes,Slacker,,,,,,,,
230,Play the most popular  soundtrack by Elena Paparizou on youtube,youtube,most popular,,Elena Paparizou,,,,,soundtrack
231,Play Midnight Special,,,,,Midnight Special,,,,
232,play pop music with Groove Shark,Groove Shark,,pop,,,,,,
233,play Takes Place In Your Work Space by Eddie Kendricks,,,,Eddie Kendricks,,,,Takes Place In Your Work Space,
234,Play eighties music by Kaira Kwong on Google Music,Google Music,,,Kaira Kwong,,,eighties,,
235,play 1970 trunes,,,,,,,1970,,
236,Play breathtaking music,,,,,,breathtaking,,,
237,Play a track from 1985 .,,,,,,,1985,,track
238,Play shining down by Tsukiko Amano on pandora .,pandora,,,Tsukiko Amano,shining down,,,,
239,play Who Do You Think You Are by Magnifico with spotify,spotify,,,Magnifico,Who Do You Think You Are,,,,
240,Play tribal,,,tribal,,,,,,
241,Play Rain by Subliminal on Groove Shark,Groove Shark,,,Subliminal,Rain,,,,
242,Play ballad music from 1958,,,,,,,1958,,ballad
243,Repeat the track of music,,,,,Repeat,,,,track
244,Play the playlist introspective,,,,,,introspective,,,
245,Please play a song from the thirties by Peter Murphy on Last Fm,Last Fm,,,Peter Murphy,,,thirties,,song
246,Play Party Through The Decades on Deezer,Deezer,,,,,Party Through The Decades,,,
247,Play Martha My Dear by shannon .,,,,shannon,Martha My Dear,,,,
248,play the greatest  Adrian Kowanek music,,greatest,,Adrian Kowanek,,,,,
249,Can I hear a symphony from the seventies on Youtube ?,Youtube,,,,,,seventies,,symphony
250,I'd like to listen to Space music,,,Space,,,,,,
251,play the last  Niney The Observer  song,,last,,Niney The Observer,,,,,song
252,Play a chant by Mj Cole,,,,Mj Cole,,,,,chant
253,Play industrial music.,,,industrial,,,,,,
254,Play always by walter parazaider .,,,,walter parazaider,always,,,,
255,Play thirties on Lastfm,Lastfm,,,,,,thirties,,
256,play music form the fourties with Slacker,Slacker,,,,,,fourties,,
257,Use pandora to play music from stano in the year 2005,pandora,,,stano,,,2005,,
258,Use Groove Shark to play Krizz Kaliko,Groove Shark,,,Krizz Kaliko,,,,,
259,Play the music of Filipp Bedrossowitsch Kirkorow 's theme,,,,Filipp Bedrossowitsch Kirkorow,,,,,theme
260,Play Skin & Bone by Jess Stacy on Deezer,Deezer,,,Jess Stacy,,,,Skin & Bone,
261,Play me a seventies  ep,,,,,,,seventies,,ep
262,play falco on Zvooq for Good Hit,Zvooq,,,falco,Good Hit,,,,
263,On Itunes play the latest  Anna Yesipova  ep,Itunes,latest,,Anna Yesipova,,,,,ep
264,Play music from the track  She Came In Through The Bathroom Window,,,,,She Came In Through The Bathroom Window,,,,track
265,play some best selling rave songs,,best,rave,,,,,,
266,Play Change Has Come on Google Music .,Google Music,,,,,,,Change Has Come,
267,Play the newest stuff by blowfly,,newest,,blowfly,,,,,
268,Play the playlist spring,,,,,,spring,,,
269,I want to hear something from the nineties by Alissa Musto on Groove Shark,Groove Shark,,,Alissa Musto,,,nineties,,
270,Play Trace Adkins ' music from the thirties .,,,,Trace Adkins,,,thirties,,
271,Play a soundtrack from 1954 .,,,,,,,1954,,soundtrack
272,"Can you play something from the fourties , preferably a symphony ?",,,,,,,fourties,,symphony
273,play Clifford Brown All Stars by Michael Balzary,,,,Michael Balzary,,,,Clifford Brown All Stars,
274,play Pandora  Christian Gangsta Rap,Pandora,,Christian Gangsta Rap,,,,,,
275,Play any chanson,,,chanson,,,,,,
276,Play a chant from the fifties,,,,,,,fifties,,chant
277,Play Leanne Dobinson  Right To Dream,,,,Leanne Dobinson,Right To Dream,,,,
278,play The Happiest Days Of Our Lives by Tommy Emmanuel,,,,Tommy Emmanuel,The Happiest Days Of Our Lives,,,,
279,Please play This Is The Day by Brian Robertson .,,,,Brian Robertson,,,,This Is The Day,
280,play Abhijeet Bhattacharya from 1986,,,,Abhijeet Bhattacharya,,,1986,,
281,Play a new  tune by louis silvers .,,new,,louis silvers,,,,,tune
282,Play me a song by Steve Hackett from Manuel,,,,Steve Hackett,,,,Manuel,song
283,Play Portsmouth by Paul Smith on Google Music .,Google Music,,,Paul Smith,Portsmouth,,,,
284,Play Dj Drama from the 1976,,,,Dj Drama,,,1976,,
285,play my tribute by Billy Cox,,,,Billy Cox,my tribute,,,,
286,"Play the playlist, Hardstyle, Baby .",,,,,,"Hardstyle, Baby",,,
287,Play me a sound track by Bert Mccracken on zvooq,zvooq,,,Bert Mccracken,,,,,sound track
288,Play some music from the fourties .,,,,,,,fourties,,
289,Play music on Itunes .,Itunes,,,,,,,,
290,I want to hear a Sandra  ep,,,,Sandra,,,,,ep
291,play theme by Yanni on Vimeo,Vimeo,,,Yanni,,,,,theme
292,play fourties tunes,,,,,,,fourties,,
293,Play a 2004  song by eliel on Zvooq .,Zvooq,,,eliel,,,2004,,song
294,Play some music on Vimeo,Vimeo,,,,,,,,
295,Play the newest music by Gladys Knight,,newest,,Gladys Knight,,,,,
296,play Hora Din Moldova by Yamazaki Maso,,,,Yamazaki Maso,Hora Din Moldova,,,,
297,play the album  Winner Takes All by Takuro with Last Fm,Last Fm,,,Takuro,,,,Winner Takes All,album
298,Play the best  ballad by The Rascals .,,best,,The Rascals,,,,,ballad
299,Play me the track  Mama Liked The Roses,,,,,Mama Liked The Roses,,,,track
300,Play eighties,,,,,,,eighties,,
301,Play a 2014  theme from Greg Pattillo,,,,Greg Pattillo,,,2014,,theme
302,Play some music from Roberto Carlos,,,,Roberto Carlos,,,,,
303,Play the concert from Philip Oakey  1973 concert on Netflix,Netflix,,,Philip Oakey,,,1973,,
304,Play some music from 1995,,,,,,,1995,,
305,Play Kaori Mochida 's most popular music on Google Music .,Google Music,most popular,,Kaori Mochida,,,,,
306,Play A Chaos Of Desire from Dan Snaith,,,,Dan Snaith,,,,A Chaos Of Desire,
307,Play music by Country Dick Montana .,,,,Country Dick Montana,,,,,
308,play chant from the nineties with Last Fm,Last Fm,,,,,,nineties,,chant
309,Play a top 5  song from Wally Bastian on Google Music,Google Music,top 5,,Wally Bastian,,,,,song
310,Play White Noise .,,,,,,White Noise,,,
311,Play ep from Quasimoto from the nineties,,,,Quasimoto,,,nineties,,ep
312,play a 1988  soundtrack,,,,,,,1988,,soundtrack
313,Play a popular  sound track by Joe Pass on Itunes .,Itunes,popular,,Joe Pass,,,,,sound track
314,Play something from the jonathon lee  movement,,,,jonathon lee,,,,,movement
315,play James Moody  ballad,,,,James Moody,,,,,ballad
316,I want to listen to some music from 2003 on Pandora from them,Pandora,,,,,,2003,,them
317,play a top 50  tune from the twenties by Willi Williams,,top 50,,Willi Williams,,,twenties,,tune
318,play fifties  track music,,,,,,,fifties,,track
319,Play theme music from 2011 .,,,,,,,2011,,theme
320,play music by Billy Powell,,,,Billy Powell,,,,,
321,Play One Good Reason by Tommy Flanagan on Itunes,Itunes,,,Tommy Flanagan,One Good Reason,,,,
322,Play some fun-punk,,,fun-punk,,,,,,
323,Play me a song by Dj Paul Elstak in 1988 on Zvooq,Zvooq,,,Dj Paul Elstak,,,1988,,song
324,Play Hasan Saltik from 2004,,,,Hasan Saltik,,,2004,,
325,I want to hear popular music from Martin Lopez,,popular,,Martin Lopez,,,,,
326,Play A Sudden Rainstorm playlist.,,,,,,A Sudden Rainstorm,,,
327,play wendy james from the fifties,,,,wendy james,,,fifties,,
328,Use Itunes to play music,Itunes,,,,,,,,
329,Play a Paul Davis  melody,,,,Paul Davis,,,,,melody
330,Play Lorenzo Palacios Quispe,,,,Lorenzo Palacios Quispe,,,,,
331,Put on Vimeo and play Kacapi Suling,Vimeo,,Kacapi Suling,,,,,,
332,play a soundtrack by Sarah Geronimo on google music,google music,,,Sarah Geronimo,,,,,soundtrack
333,Play me a song from 1976 by Bennie Moten,,,,Bennie Moten,,,1976,,song
334,I want to hear eighties music by Noko on deezer .,deezer,,,Noko,,,eighties,,
335,Play some Glenn Miller .,,,,Glenn Miller,,,,,
336,Can I hear a song by David Hodges ?,,,,David Hodges,,,,,song
337,Play The New Retro playlist on Netflix .,Netflix,,,,,The New Retro,,,
338,Play some P. J. Proby,,,,P. J. Proby,,,,,
339,Play soundtrack by Armand Van Helden,,,,Armand Van Helden,,,,,soundtrack
340,Play The Lamentation Of Cloris,,,,,The Lamentation Of Cloris,,,,
341,I want to hear the new Latin Pop Rising list,,,,,,Latin Pop Rising,,,
342,Please play some music from the seventies  movement,,,,,,,seventies,,movement
343,play Signe Anderson  chant music that is newest,,newest,,Signe Anderson,,,,,chant
344,play Richard Thompson from the thirties  song book,,,,Richard Thompson,,,thirties,,song
345,Play funtime activity,,,,,,funtime activity,,,
346,Play me a song from Luxury Liner,,,,,,,,Luxury Liner,song
347,I want to hear De Eerste Keer from Paul Caiafa off of Google Music,Google Music,,,Paul Caiafa,De Eerste Keer,,,,
348,Play a sixties  song .,,,,,,,sixties,,song
349,I want to hear some twenties music off of Deezer,Deezer,,,,,,twenties,,
350,Play some movement from 1959 on deezer .,deezer,,,,,,1959,,movement
351,play songs by Queen,,,,,,Queen,,,
352,Please play good music by Will Oldham .,,good,,Will Oldham,,,,,
353,Play a song from the thirties on Zvooq,Zvooq,,,,,,thirties,,song
354,play Vanlose Stairway by Janove Ottesen,,,,Janove Ottesen,Vanlose Stairway,,,,
355,Play me the last  1980  record by Brenda Kahn,,last,,Brenda Kahn,,,1980,,record
356,Play music from the top-5 from artist Kenia Arias,,top-5,,Kenia Arias,,,,,
357,Lets hear some 2009 music,,,,,,,2009,,
358,Play some bass music.,,,bass,,,,,,
359,Play Furusato on Google Music .,Google Music,,,,Furusato,,,,
360,Play Party Anthems,,,,,,Party Anthems,,,
361,use Iheart radio to play eighties music from Hugh Masekela .,Iheart,,,Hugh Masekela,,,eighties,,
362,Play a symphony from Bob Hardy please,,,,Bob Hardy,,,,,symphony
363,Play some eighties music.,,,,,,,eighties,,
364,Play a 1964  track from Shahram Nazeri on Pandora .,Pandora,,,Shahram Nazeri,,,1964,,track
365,Sort to the last  song on playlist from 1983 a chant by Mark Oliver Everett,,last,,Mark Oliver Everett,,,1983,,chant
366,Play a new  symphony by Perfecto De Castro on Lastfm,Lastfm,new,,Perfecto De Castro,,,,,symphony
367,Play some music from the thirties .,,,,,,,thirties,,
368,Play some Matthew Sweet music from around 1996 on Spotify,Spotify,,,Matthew Sweet,,,1996,,
369,open lastfm play top hits of Simon Webbe,lastfm,top,,Simon Webbe,,,,,
370,play 1981 music on Last Fm,Last Fm,,,,,,1981,,
371,Play a track from 1959 .,,,,,,,1959,,track
372,Play chant music by Big Dee Irwin .,,,,Big Dee Irwin,,,,,chant
