,text,party_size_number,spatial_relation,facility,timeRange,sort,country,party_size_description,restaurant_type,restaurant_name,cuisine,served_dish,state,poi,city
26,Restaurant  near  in town uses in two years ,,near,,in two years,,,,Restaurant,,,,,in town,
27,Book seating at a restaurant in Topton,,,,,,,,restaurant,,,,,,Topton
28,I need a table for four at a pub in Heard Island and McDonald Islands,four,,,,,Heard Island and McDonald Islands,,pub,,,,,,
29,I want to go to Antigua and Barbuda and eat at a table for 4 .,4,,,,,Antigua and Barbuda,,,,,,,,
30,I want to eat at a scandinavian  restaurant that is highly rated in Bonita  Texas,,,,,highly rated,,,restaurant,,scandinavian,,Texas,,Bonita
31,I want to eat for two at a brasserie in Gwynedd Valley  TN with pickled cucumber  in one second ,two,,,in one second,,,,brasserie,,,pickled cucumber,TN,,Gwynedd Valley
32,"book on feb. the twenty-sixth, 2026 in Tracyton for two at a cafe",two,,,"feb. the twenty-sixth, 2026",,,,cafe,,,,,,Tracyton
33,I'd like to eat in Iran with a party of 9 on sep. the 12th,9,,,sep. the 12th,,Iran,,,,,,,,
34,Book The Oriel in Allison for a party of four .,four,,,,,,,,The Oriel,,,,,Allison
35,book a table on 6/14/2035 at a bakery  within walking distance of Equatorial Guinea that serves paella,,within walking distance,,6/14/2035,,Equatorial Guinea,,bakery,,,paella,,,
36,book me top-rated  restaurant for 9 members for midnight at Fair Bluff  RI,9,,,midnight,top-rated,,,restaurant,,,,RI,,Fair Bluff
37,book a Ukraine  pub serves mineiro,,,,,,Ukraine,,pub,,mineiro,,,,
38,Book a restaurant in Mauritania for 1 person.,1,,,,,Mauritania,,restaurant,,,,,,
39,me and my niece want to eat somewhere close by  Hopatcong,,close by,,,,,me and my niece,,,,,,Hopatcong,
40,Can you book me a table for 9 in DE ?,9,,,,,,,,,,,DE,,
41,I need a reservation for a pizzeria  nearby  Vigus,,nearby,,,,,,pizzeria,,,,,,Vigus
42,I want to book a restaurant  neighboring  Livonia Av,,neighboring,,,,,,restaurant,,,,,Livonia Av,
43,Book me a table for seven people at a bar with a pool .,seven,,pool,,,,,bar,,,,,,
44,"Book a spot for kelli, jean and I at a pub at elevenses",,,,elevenses,,,"kelli, jean and I",pub,,,,,,
45,book a gastropub serves waffle for 8,8,,,,,,,gastropub,,,waffle,,,
46,I need a reservation for 7 people at a bar in Chile that serves bio .,7,,,,,Chile,,bar,,,bio,,,
47,I need to book a table at a food court in NH that serves smelt,,,,,,,,food court,,,smelt,NH,,
48,Book a restaurant in MP at 3 pm with pigs in blankets,,,,3 pm,,,,restaurant,,,pigs in blankets,MP,,
49,Book an australian  restaurant in Jacksboro  three weeks from now for my step father and I .,,,,three weeks from now,,,my step father and I,restaurant,,australian,,,,Jacksboro
50,"Please book reservations at a restaurant that serves empanada , party for three with betty and dolly .",,,,,,,betty and dolly,restaurant,,,empanada,,,
51,I need a table at The Ledbury at 18 o'clock,,,,18 o'clock,,,,,The Ledbury,,,,,
52,At four pm . I need a table for 8 at a restaurant in Guernsey that serves salade .,8,,,four pm,,Guernsey,,restaurant,,,salade,,,
53,"book a table 1 year from now for corinne, tisha and I at a restaurant in Guernsey that is top-rated",,,,1 year from now,top-rated,Guernsey,"corinne, tisha and I",restaurant,,,,,,
54,I'm looking to reserve a table at a pasta  restaurant in Serbia .,,,,,,Serbia,,restaurant,,,pasta,,,
55,Book me a reservation for Ad Hoc in Brazil for a party of 7,7,,,,,Brazil,,,Ad Hoc,,,,,
56,Lets go eat in Friday  43 days from now,,,,43 days from now,,,,,,,,,,Friday
57,I need a reservation for a brasserie that serves ankimo in PW,,,,,,,,brasserie,,,ankimo,PW,,
58,Please book reservations for 3 people at a restaurant in Alderwood Manor,3,,,,,,,restaurant,,,,,,Alderwood Manor
59,book a table in MT for 3 for now at a pub that serves south indian,3,,,now,,,,pub,,south indian,,MT,,
60,Book a table in Belhaven for a party of seven at the Great House at Sonning,seven,,,,,,,,Great House at Sonning,,,,,Belhaven
61,I want to book a restaurant  near  Wyoming for 5 people.,5,near,,,,,,restaurant,,,,Wyoming,,
62,Get me a table at Eighth Step Coffee House in Germania for 7,7,,,,,,,,Eighth Step Coffee House,,,,,Germania
63,Locate the best  pub in Apache Junction,,,,,best,,,pub,,,,,,Apache Junction
64,"book a restaurant in McMurray on august seventeenth for marjorie vasquez, edith and martina",,,,august seventeenth,,,"marjorie vasquez, edith and martina",restaurant,,,,,,McMurray
65,Book a table for mindy and angelita at a restaurant which serves cafÃ© liÃ©geois ,,,,,,,mindy and angelita,restaurant,,,cafÃ© liÃ©geois,,,
66,"I need a table for ten on april the eighteenth, 2030",ten,,,"april the eighteenth, 2030",,,,,,,,,,
67,book a popular  restaurant of thai cuisine,,,,,popular,,,restaurant,,thai,,,,
68,I want to book a pastelaria  cafe in Alabama for me and my great grandfather .,,,,,,,me and my great grandfather,cafe,,pastelaria,,Alabama,,
69,"I need a reservation for apr. the sixteenth, 2027 in Cazenovia , CA",,,,"apr. the sixteenth, 2027",,,,,,,,CA,,Cazenovia
70,"Book a table at a bar in Moody for deloris, ester and petra alvarez .",,,,,,,"deloris, ester and petra alvarez",bar,,,,,,Moody
71,Can you find me reservations for this morning at a restaurant that serves stracciatella ?,,,,morning,,,,restaurant,,,stracciatella,,,
72,Book the best  joint for 3 people.,3,,,,best,,,joint,,,,,,
73,"book a spot for me, tiffany and sondra at a top-rated  restaurant in MS with udupi",,,,,top-rated,,"me, tiffany and sondra",restaurant,,udupi,,MS,,
74,Please book a restaurant room which serves hangtown fry dish in Jagual ,,,,,,,,restaurant,,,hangtown fry,,,Jagual
75,I need a reservation for the best  asian  joint on Jan. 3 in Bradford  Alabama for a party of 9,9,,,Jan. 3,best,,,joint,,asian,,Alabama,,Bradford
76,Book a gastropub that has balinese food in twenty hours in Comunas for my nephew and I,,,,in twenty hours,,,my nephew and I,gastropub,,balinese,,,,Comunas
77,I need to book a Theme restaurant  this month in Chile,,,,this month,,Chile,,,Theme restaurant,,,,,
78,Book a table for ten people at a restaurant which serves snack .,ten,,,,,,,restaurant,,,snack,,,
79,I would like to book a restaurant in Lebanon,,,,,,Lebanon,,restaurant,,,,,,
80,Book the Fashion CafÃ© for elevenses .,,,,elevenses,,,,,Fashion CafÃ©,,,,,
81,book a spot for me and my great grandfather at a brasserie with a pool at 7 am,,,pool,7 am,,,me and my great grandfather,brasserie,,,,,,
82,I need a table at T-Rex for nine in Brunei,nine,,,,,Brunei,,,T-Rex,,,,,
83,Book a table for two for this autumn,two,,,this autumn,,,,,,,,,,
84,book a spot at a restaurant with wifi that is neighboring  Suriname,,neighboring,wifi,,,Suriname,,restaurant,,,,,,
85,Book a restaurant in Papua New Guinea for me and my daughters,,,,,,Papua New Guinea,me and my daughters,restaurant,,,,,,
86,book a spot at a highly rated  tavern in Colombia,,,,,highly rated,Colombia,,tavern,,,,,,
87,Make a reservation at a tavern which serves clam cake for a party of 8 in Western Sahara .,8,,,,,Western Sahara,,tavern,,,clam cake,,,
88,Make me a reservation in South Carolina,,,,,,,,,,,,South Carolina,,
89,Book a table for 2 at a restaurant in Follett,2,,,,,,,restaurant,,,,,,Follett
90,book a sushis serving restaurant in Uzbekistan,,,,,,Uzbekistan,,restaurant,,,sushis,,,
91,I need a table for 8 during midday in Montana,8,,,midday,,,,,,,,Montana,,
92,book a table in California for rita and brenda at Hurley Mountain Inn on january the 11th,,,,january the 11th,,,rita and brenda,,Hurley Mountain Inn,,,California,,
93,me and my grandmother want to eat umbrian food on January the 7th at a brasserie .,,,,January the 7th,,,me and my grandmother,brasserie,,umbrian,,,,
94,book a restaurant for 4 that's not far from CA,4,not far,,,,,,restaurant,,,,CA,,
95,Book me a restaurant please.,,,,,,,,restaurant,,,,,,
96,book for five in Georgia at The Coffee Bean & Tea Leaf,five,,,,,,,,The Coffee Bean & Tea Leaf,,,Georgia,,
97,Book a table for 6 in New Hampshire for next week .,6,,,next week,,,,,,,,New Hampshire,,
98,book a table at SkyCity in Salado for me and hannah,,,,,,,me and hannah,,SkyCity,,,,,Salado
99,"book a eastern european cuisine restaurant in midday for four in Meers , MP ",four,,,midday,,,,restaurant,,eastern european,,MP,,Meers
100,Book a highly rated  northeast indian  brasserie in Kenova for nannie and I at 14:41 .,,,,14:41,highly rated,,nannie and I,brasserie,,northeast indian,,,,Kenova
101,gwen carter and I want a reservation in the Dominican Republic,,,,,,Dominican Republic,gwen carter and I,,,,,,,
102,"1 minute from now , I will need reservations at a restaurant in Vanlue .",,,,1 minute from now,,,,restaurant,,,,,,Vanlue
103,Book a reservation for a brasserie serving soupe in Tokelau,,,,,,Tokelau,,brasserie,,,soupe,,,
104,I'd like to have southeastern brazilian at the pub in Dominica,,,,,,Dominica,,pub,,southeastern brazilian,,,,
105,Book a reservation for 6 at a restaurant in Deersville,6,,,,,,,restaurant,,,,,,Deersville
106,book a spot at Colony,,,,,,,,,Colony,,,,,
107,book a spot for 2 at a brasserie that has hot dog in WA at twelve AM,2,,,twelve AM,,,,brasserie,,,hot dog,WA,,
108,"Book a restaurant  neighboring  IL for me, rachelle and wilda .",,neighboring,,,,,"me, rachelle and wilda",restaurant,,,,IL,,
109,"Reserve a table for 3 people at The Cubby Bear ,  in Comoros .",3,,,,,Comoros,,,The Cubby Bear,,,,,
110,Book a spot for nine at The Cubby Bear in Luxor,nine,,,,,,,,The Cubby Bear,,,,,Luxor
111,Find a reservation for a tavern that serves pizzas for a party of 6,6,,,,,,,tavern,,,pizzas,,,
112,Find a reservation for 3 people,3,,,,,,,,,,,,,
113,I need a reservation for Harveys  this Winter in neighboring  Wisconsin for terri and I,,neighboring,,this Winter,,,terri and I,,Harveys,,,Wisconsin,,
114,Reserve me a table a bar that serves african food for thirteen o'clock for 1 in Moravian Falls .,1,,,thirteen o'clock,,,,bar,,african,,,,Moravian Falls
115,book Tun Tavern for morning in Norfolk Island,,,,morning,,Norfolk Island,,,Tun Tavern,,,,,
116,book a highly rated  bar in Curacao for one,one,,,,highly rated,Curacao,,bar,,,,,,
117,I want to go to that popular  ethiopian  restaurant,,,,,popular,,,restaurant,,ethiopian,,,,
118,I need a reservation for a gastropub that serves a maple bacon donut,,,,,,,,gastropub,,,maple bacon donut,,,
119,I need a table at Eddieâs Attic in Nevada for one,one,,,,,,,,Eddieâs Attic,,,Nevada,,
120,I need a restaurant on july 18th in Rose Bud,,,,july 18th,,,,restaurant,,,,,,Rose Bud
121,Book a restaurant with wifi for nine people.,nine,,wifi,,,,,restaurant,,,,,,
122,book a spot at Bobcat Bite in Needmore for ten am,,,,ten am,,,,,Bobcat Bite,,,,,Needmore
123,I want reservations at a restaurant in Robert Lee for 21:05:17 .,,,,21:05:17,,,,restaurant,,,,,,Robert Lee
124,Book a reservation for nine at an outdoor  restaurant,nine,,outdoor,,,,,restaurant,,,,,,
125,book me a Rustic inn  restaurant for 8 members at Nappanee,8,,,,,,,restaurant,Rustic inn,,,,,Nappanee
126,Book a highly rated  restaurant for one person in Rainbow Lakes .,one,,,,highly rated,,,restaurant,,,,,,Rainbow Lakes
127,book a restaurant for nine on 16 hours from now,nine,,,16 hours from now,,,,restaurant,,,,,,
128,me and imelda want a reservation in Missouri at seven am,,,,seven am,,,me and imelda,,,,,Missouri,,
129,Book a nearby  northeast indian  restaurant in North Carolina for ten people at six am .,ten,nearby,,six am,,,,restaurant,,northeast indian,,North Carolina,,
130,Book me a restaurant where I can get a burrito,,,,,,,,restaurant,,,burrito,,,
131,I want to get reservations at a place close by for 6 people to eat in SC .,6,close by,,,,,,,,,,SC,,
132,Make me a reservation within walking distance in WY for 6 pm,,within walking distance,,6 pm,,,,,,,,WY,,
133,Need to book a table downtown  within walking distance of me at J.G. Melon,,within walking distance,,,,,,,J.G. Melon,,,,downtown,
134,Make a booking for the highly rated  food court in Montenegro .,,,,,highly rated,Montenegro,,food court,,,,,,
135,Book a table for 6 in Verona .,6,,,,,,,,,,,,,Verona
136,Book the Slippery Noodle Inn in Gober .,,,,,,,,,Slippery Noodle Inn,,,,,Gober
137,book a restaurant  within the same area as Saratoga Av,,within the same area,,,,,,restaurant,,,,,Saratoga Av,
138,Please book a joint type restaurant room with spa facility to accommodate 8 members,8,,spa,,,,,restaurant,,,,,,
139,My group of seven wants to eat at Yogurt Mountain in Slick  tonight .,seven,,,tonight,,,,,Yogurt Mountain,,,,,Slick
140,Reserve a table for two for jun. 13th in a neighboring  bistro which serves mongolian food in Northway .,two,neighboring,,jun. 13th,,,,bistro,,mongolian,,,,Northway
141,Book a restaurant  not far in Milladore for 6 people.,6,not far,,,,,,restaurant,,,,,,Milladore
142,Book reservations at a restaurant in MI  seven weeks from now,,,,seven weeks from now,,,,restaurant,,,,MI,,
143,I need a reservation for National Coney Island with a party of 8 in NV,8,,,,,,,,National Coney Island,,,NV,,
144,book a brasserie with internet fascility for 5  in a year in Oklahoma,5,,internet,in a year ,,,,brasserie,,,,Oklahoma,,
145,Book the Boon Brick Store for nine people.,nine,,,,,,,,Boon Brick Store,,,,,
146,Book a table at a restaurant in the Cayman Islands  two hundred ninety six days from now,,,,two hundred ninety six days from now,,Cayman Islands,,restaurant,,,,,,
147,book a cafeteria having pool for four in Algeria,four,,pool,,,Algeria,,cafeteria,,,,,,
148,find and book a restaurant that serves dumplings,,,,,,,,restaurant,,,dumplings,,,
149,Book a brasserie in Samoa for four people.,four,,,,,Samoa,,brasserie,,,,,,
150,book a restaurant in Puerto Rico,,,,,,,,restaurant,,,,Puerto Rico,,
151,book in OH in Gurabo for velma and gloria,,,,,,,velma and gloria,,,,,OH,,Gurabo
152,"book a restaurant for me, angela and mercedes in Cimarron City , Colorado",,,,,,,"me, angela and mercedes",restaurant,,,,Colorado,,Cimarron City
153,Book a table for 9 people for four pm in Johnson .,9,,,four pm,,,,,,,,,,Johnson
154,book me a restaurant that serves green bean casserole for five people,five,,,,,,,restaurant,,,green bean casserole,,,
155,book at Dutchess Manor in Portugal for 6,6,,,,,Portugal,,,Dutchess Manor,,,,,
156,restaurant in Bulgaria  this week party for 9 numbers,9,,,this week,,Bulgaria,,restaurant,,,,,,
157,Make me a reservation for a party of eight in Ledoux,eight,,,,,,,,,,,,,Ledoux
158,book this week for their step sister's workplace  close,,close,,this week,,,,,,,,,their step sister's workplace,
159,I need a party of two reservation faraway from Atlantic Av-Barclays Ctr at a spa for fast food,two,faraway,spa,,,,,fast food,,,,,Atlantic Av-Barclays Ctr,
160,book a spot in Malin  KY,,,,,,,,,,,,KY,,Malin
161,book a spot in the same area as Yankee Doodle Coffee Shop in Madagascar,,in the same area,,,,Madagascar,,,Yankee Doodle Coffee Shop,,,,,
162,"book a food court in supper time distant from Northern Mariana Islands for me, winnie and courtney ",,distant,,supper,,,"me, winnie and courtney",food court,,,,Northern Mariana Islands,,
163,Book a restaurant that serves capicollo in Kit Carson with ilene and aisha .,,,,,,,ilene and aisha,restaurant,,,capicollo,,,Kit Carson
164,"book James D. Conrey House for madeleine, keisha and clara alvarez  far from your colleague's college",,far,,,,,"madeleine, keisha and clara alvarez",,James D. Conrey House,,,,your colleague's college,
165,I want to book a meal at a restaurant that searves kouglof .,,,,meal,,,,restaurant,,,kouglof,,,
166,Book Laurelhurst Theater for 8 people.,8,,,,,,,,Laurelhurst Theater,,,,,
167,I want to book a restaurant for supper in Kellerton for 2,2,,,supper,,,,restaurant,,,,,,Kellerton
168,Can you book a table for a party of 6  close to DeKalb Av,6,close,,,,,,,,,,,DeKalb Av,
169,I would like to book a restaurant  within the same area as Myrtle Av for 6,6,within the same area,,,,,,restaurant,,,,,Myrtle Av,
170,I have six people who would like to eat at a cafe that serves american chinese cuisine in TX .,six,,,,,,,cafe,,,american chinese cuisine,TX,,
171,I'd like to get a restaurant booked on mar. fourteenth in MD .,,,,mar. fourteenth,,,,restaurant,,,,MD,,
172,"book a mexican  brasserie  close by  Woodcliff Lake for a party of 7 on April 25, 2026",7,close by,,"April 25, 2026",,,,brasserie,,mexican,,,Woodcliff Lake,
173,book a table for seven in Walpole,seven,,,,,,,,,,,,,Walpole
174,Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa  faraway from Palmyra,6,faraway,spa,twenty o'clock,,,,restaurant,,,,,Palmyra,
175,I want to go to the Freight House in Gabon,,,,,,Gabon,,,Freight House,,,,,
176,"I need a table for nine at a restaurant in Pelican Bay serving chips on December 6, 2031",nine,,,"December 6, 2031",,,,restaurant,,,chips,,,Pelican Bay
177,"book a spot for robyn martinez, maude and I at a steakhouse  not far from their place",,not far,,,,,"robyn martinez, maude and I",steakhouse,,,,,their place,
178,I would like to book a restaurant in Poncha Springs for 8 at 00:32 am,8,,,00:32 am,,,,restaurant,,,,,,Poncha Springs
179,book in South Dakota for lobster newberg at a pub,,,,,,,,pub,,,lobster newberg,South Dakota,,
180,"book a masala  bar on march 6, 2034",,,,"march 6, 2034",,,,bar,,,masala,,,
181,Book a reservation for ten at a restaurant in AMerican Samoa at 2 am,ten,,,2 am,,,,restaurant,,,,AMerican Samoa,,
182,Book a restaurant for ten in Germfask .,ten,,,,,,,restaurant,,,,,,Germfask
183,book a spot for 8 in Hungary on february the 14th,8,,,february the 14th,,Hungary,,,,,,,,
184,Book a churrascaria restaurant that serves chips for five people.,five,,,,,,,churrascaria restaurant,,,chips,,,
185,Find a reservation at Sunset at a gastropub for 2 people,2,,,Sunset,,,,gastropub,,,,,,
186,Lets go far to The Wolseley in Maine,,far,,,,,,,The Wolseley,,,Maine,,
187,book a spot for eight at a pub in New Mexico,eight,,,,,,,pub,,,,New Mexico,,
188,Book a restaurant with parking for kirsten morris and I .,,,parking,,,,kirsten morris and I,restaurant,,,,,,
189,Book a restaurant for ten in Exmore at sunset ,ten,,,sunset,,,,restaurant,,,,,,Exmore
190,Can you book reservations for jeanne and charlotte at a diner in Mayotte,,,,,,Mayotte,jeanne and charlotte,diner,,,,,,
191,"I'm hoping to find a table for six at a pub on jul. 19, 2029 .",six,,,"jul. 19, 2029",,,,pub,,,,,,
192,"21 weeks from now  elinor, crystal turner and nita want to eat german food at a bar in distant  California",,distant,,21 weeks from now,,,"elinor, crystal turner and nita",bar,,german,,California,,
193,Find a place for me to eat in Connecticut for 9 and a half months from now,,,,9 and a half months from now,,,,,,,,Connecticut,,
194,I want to take my bf and I to get some pain perdu from a food truck,,,,,,,my bf and I,food truck,,,pain perdu,,,
195,I'd like a table for five at any restaurant,five,,,,,,,restaurant,,,,,,
196,I'd like to book 4 seats at a restaurant .,4,,,,,,,restaurant,,,,,,
197,I want to make a reservation for a group of 4 at a churrascaria type spa,4,,spa,,,,,churrascaria,,,,,,
198,Schedule the food truck to be at your place in the distant future.,,distant,,,,,,food truck,,,,,your place,
199,Can you make reservations at a restaurant that serves mashed pumpkin for six PM,,,,six PM,,,,restaurant,,,mashed pumpkin,,,
200,Book The Crown at Whitebrook in RI for 2 people.,2,,,,,,,,The Crown at Whitebrook,,,RI,,
201,i need to book a restaurant for five in Liberia at The Maisonette,five,,,,,Liberia,,restaurant,The Maisonette,,,,,
202,Book spot for eight at bar that serves potÃ©e,eight,,,,,,,bar,,,potÃ©e,,,
203,table for 6 at a brasserie,6,,,,,,,brasserie,,,,,,
204,Book reservations at James D. Conrey House at 1 PM for a party of nine,nine,,,1 PM,,,,,James D. Conrey House,,,,,
205,Book a fast food restaurant .,,,,,,,,fast food restaurant,,,,,,
206,I want to book a doughnut  bar in AMerican Samoa,,,,,,,,bar,,,doughnut,AMerican Samoa,,
207,"Need a table  for party of five for December 26, 2040 in the state of MT",five,,,"December 26, 2040",,,,,,,,MT,,
208,I want to book an ethiopian  bar for this Afternoon .,,,,Afternoon,,,,bar,,ethiopian,,,,
209,I need to book a table for 4,4,,,,,,,,,,,,,
210,book a taverna for 10 for NY,10,,,,,,,taverna,,,,NY,,
211,I need a table for 4 in Florida,4,,,,,,,,,,,Florida,,
212,book a table in Fort Loudon at a restaurant for 5,5,,,,,,,restaurant,,,,,,Fort Loudon
213,I want to go to the popular  pub at ten PM,,,,ten PM,popular,,,pub,,,,,,
214,I need a popular  moroccan  cafeteria ,,,,,popular,,,cafeteria,,moroccan,,,,
215,please book highly rated  restaurant with food truck  tuscan for me and adela in Hallam  Indiana ,,,,,highly rated,,me and adela,food truck,,tuscan,,Indiana,,Hallam
216,Book reservations at a  for seven at a highly rated  restaurant that serves kosher food in VI,seven,,,,highly rated,,,restaurant,,kosher,,VI,,
217,I need to book the Fashion Cafe for meal in Lavina,,,,meal,,,,,Fashion Cafe,,,,,Lavina
218,book an oyster bar in AMerican Samoa for lunch,,,,lunch,,,,oyster bar,,,,AMerican Samoa,,
219,I want to book a restaurant with a pool for five in Conehatta,five,,pool,,,,,restaurant,,,,,,Conehatta
220,"book a spot for krista, yolanda and I in New Mexico",,,,,,,"krista, yolanda and I",,,,,New Mexico,,
221,Can you get me seating for a party of 4,4,,,,,,,,,,,,,
222,book a cafe for one in the Cocos Islands,one,,,,,Cocos Islands,,cafe,,,,,,
223,Book the best  eastern european  restaurant for 5 people at two o'clock in Cohocton  WY .,5,,,two o'clock,best,,,restaurant,,eastern european,,WY,,Cohocton
224,I need a table for 5 at the restaurant I ate at last Oct.,5,,,last Oct.,,,,restaurant,,,,,,
225,Book a table for January the twentieth at a place far from your daughter's campus,,far,,January the twentieth,,,,,,,,,your daughter's campus,
226,holly and brittany need a reservation for a sardinian  tea house  close by  CO,,close by,,,,,holly and brittany,tea house,,sardinian,,CO,,
227,I need to book a table at a place around here in PA for a party of two,two,around,,,,,,,,,,PA,,
228,"Book a reservation for 5 people next week at The Pump Room, Chicago",5,,,next week,,,,,"The Pump Room, Chicago",,,,,
229,I need a fast food restaurant that will seat two in a smoking room .,two,,smoking room,,,,,fast food restaurant,,,,,,
230,Please book a restaurant for 45 weeks from now in FM,,,,45 weeks from now,,,,restaurant,,,,FM,,
231,Find a coffeehouse in Illinois for three,three,,,,,,,coffeehouse,,,,Illinois,,
232,Book a  table for 9 scheduled for april the 8th in NJ .,9,,,april the 8th,,,,,,,,NJ,,
233,book a spot for 2 at a restaurant in Mayotte at 06:13 AM,2,,,06:13 AM,,Mayotte,,restaurant,,,,,,
234,"I want to book a spot at a bar in Henniker , North Dakota .",,,,,,,,bar,,,,North Dakota,,Henniker
235,Book a table for 4 in California,4,,,,,,,,,,,California,,
236,"me, maggie and ellen want to eat at Lentil as Anything",,,,,,,"me, maggie and ellen",,Lentil as Anything,,,,,
237,Book seating for one person at a food truck,one,,,,,,,food truck,,,,,,
238,Please book a table for 6 people in the same area as Bedford Park Blvd-Lehman College,6,in the same area,,,,,,,,,,,Bedford Park Blvd-Lehman College,
239,"Book a reservation for a parry of eight for a restaurant in Birch River , MO",eight,,,,,,,restaurant,,,,MO,,Birch River
240,book San Francisco Brewing Company for two located at AL,two,,,,,,,,San Francisco Brewing Company,,,AL,,
241,"Book a table for kirsten price, audra and I  faraway from our location at an outdoor  taverna",,faraway,outdoor,,,,"kirsten price, audra and I",taverna,,,,,our location,
242,Book a table for 1 at RingSide Steakhouse in Hurricane .,1,,,,,,,,RingSide Steakhouse,,,,,Hurricane
243,book at The Halal Guys on Oct. 17,,,,Oct. 17,,,,,The Halal Guys,,,,,
244,book a spot at a pizza place nine weeks from now in Wisconsin,,,,nine weeks from now,,,,,,,pizza,Wisconsin,,
245,I need to make a reservation at a top-rated  moroccan  restaurant in Bone that is nearby and can seat 8,8,nearby,,,top-rated,,,restaurant,,moroccan,,,,Bone
246,need a table somewhere in McLaurin  Connecticut,,,,,,,,,,,,Connecticut,,McLaurin
247,I want to book a reservation within the same area of AMelia Court House for 4 .,4,within the same area,,,,,,,,,,,,AMelia Court House
248,book me a diner  close-by  Benin that serves strolghino for eight people,eight,close-by,,,,Benin,,diner,,,strolghino,,,
249,book a taverna for a party of 10,10,,,,,,,taverna,,,,,,
250,Book a restaurant for three people in Jenkins .,three,,,,,,,restaurant,,,,,,Jenkins
251,Book a table for eight  this month in Maldives .,eight,,,this month,,Maldives,,,,,,,,
252,I am looking for a top-rated  restaurant  near  bougatsa that can feed 3 that is close to Pelham Bay Park,3,close,,,top-rated,,,restaurant,,bougatsa,,,Pelham Bay Park,
253,I want to book an oyster bar for five people.,five,,,,,,,oyster bar,,,,,,
254,Give me a top-rated  restaurant that's eastern european,,,,,top-rated,,,restaurant,,eastern european,,,,
255,book a tea house on 5/20/2028 in Pataskala that serves crepe in NC for five,five,,,5/20/2028,,,,tea house,,,crepe,NC,,Pataskala
256,book a spot for 1  close to geraldine's house,1,close,,,,,,,,,,,geraldine's house,
257,I want to eat breakfast at the Green Restaurant Certification,,,,breakfast,,,,,Green Restaurant Certification,,,,,
