,text,spatial_relation,timeRange,movie_name,object_type,object_location_type,movie_type,location_name
50,What films and movie times are close by,close by,,,movie times,,films,
51,find National Amusements showing The Sea Is Behind,,,The Sea Is Behind,,,,National Amusements
52,show movie times,,,,movie times,,,
53,Is The Swan available to watch at the movie house  now ?,,now,The Swan,,movie house,,
54,is Traffic at the movie theatre,,,Traffic,,movie theatre,,
55,Find time for the movie schedule at Cineplex Odeon Corporation,,,,movie schedule,,,Cineplex Odeon Corporation
56,What time is Kerasotes Theatres playing animated movies,,,,,,animated movies,Kerasotes Theatres
57,find The Flying Ace,,,The Flying Ace,,,,
58,is Transcending Fear at Malco Theatres,,,Transcending Fear,,,,Malco Theatres
59,Can you give me a local and current movie schedule ,,,,movie schedule,,,
60,Where is the nearest  movie house that is playing Teaching to See,nearest,,Teaching to See,,movie house,,
61,closest  movie theatre with No Time for Sergeants,closest,,No Time for Sergeants,,movie theatre,,
62,where is Beyblade: Fierce Battle playing,,,Beyblade: Fierce Battle,,,,
63,when is Hefner: Unauthorized showing at Magic Johnson Theatres,,,Hefner: Unauthorized,,,,Magic Johnson Theatres
64,what's the closest  movie house showing animated movies,closest,,,,movie house,animated movies,
65,find a nearby  movie schedule for movies,nearby,,,movie schedule,,movies,
66,Showtimes for Medal for the General,,,Medal for the General,,,,
67,When is His English Wife showing at the Neighborhood Cinema Group ?,,,His English Wife,,,,Neighborhood Cinema Group
68,What time is The Count playing,,,The Count,,,,
69,find animated movies  in the neighborhood,in the neighborhood,,,,,animated movies,
70,Can you tell me what time The Fickle is playing at the closest  cinema,closest,,The Fickle,,cinema,,
71,show movie schedules at Megaplex Theatres,,,,movie schedules,,,Megaplex Theatres
72,what's the nearest  movie theatre showing movies,nearest,,,,movie theatre,movies,
73,please give me the movie schedule,,,,movie schedule,,,
74,i want to watch animated movies at Showcase Cinemas,,,,,,animated movies,Showcase Cinemas
75,find The Broken,,,The Broken,,,,
76,where is the nearest  movie theatre showing movies,nearest,,,,movie theatre,movies,
77,find Three in the Attic,,,Three in the Attic,,,,
78,What is the movie schedule for animated movies  in the area,in the area,,,movie schedule,,animated movies,
79,Can you give me the movie schedules at Mann Theatres ?,,,,movie schedules,,,Mann Theatres
80,give me the movie schedule for animated movies showing in the neighborhood,in the neighborhood,,,movie schedule,,animated movies,
81,When is Longwave going to be playing?,,,Longwave,,,,
82,Find the movie schedules for me,,,,movie schedules,,,
83,find Vegucated starting at zero pm,,zero pm,Vegucated,,,,
84,What time will Where the Breakers Roar be playing?,,,Where the Breakers Roar,,,,
85,I'd like to watch Dirty Laundry at the movie house ,,,Dirty Laundry,,movie house,,
86,I want the movie schedule for animated movies  in the area ,in the area,,,movie schedule,,animated movies,
87,Is The Tender Years at the nearest  movie theatre,nearest,,The Tender Years,,movie theatre,,
88,Find the schedule for The Band of Honest Men at the nearest  movie theatre .,nearest,,The Band of Honest Men,schedule,movie theatre,,
89,Show me the movie schedule,,,,movie schedule,,,
90,I'd like to watch films at the nearest  cinema at 8 am,nearest,8 am,,,cinema,films,
91,Find the movie times for animated movies  around here .,around here,,,movie times,,animated movies,
92,showtimes for movies currently playing at Speakeasy Theaters,,,,,,movies,Speakeasy Theaters
93,can you find me a showing for Before the Music Dies  in one second ?,,in one second,Before the Music Dies,,,,
94,Find the movie schedules for Cobb Theatres .,,,,movie schedules,,,Cobb Theatres
95,What is the movie schedules for the Harkins Theatres,,,,movie schedules,,,Harkins Theatres
96,find movie times,,,,movie times,,,
97,what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40,,14:40,A Lonely Place to Die – Todesfalle Highlands,,,,theaters
98,find a cinema  closest with animated movies,closest,,,,cinema,animated movies,
99,Show me movie times at Cooper Foundation .,,,,movie times,,,Cooper Foundation
100,find movie times for films  close by,close by,,,movie times,,films,
101,movie schedules at AMC Theaters ,,,,movie schedules,,,AMC Theaters
102,Please tell me movie times,,,,movie times,,,
103,show movie schedules  close by  movies,close by,,,movie schedules,,movies,
104,What time will In the Name of the Son be playing?,,,In the Name of the Son,,,,
105,Which movies are playing at the nearest  cinema at twelve PM ?,nearest,twelve PM,,,cinema,movies,
106,is Dishyum at the cinema,,,Dishyum,,cinema,,
107,Show me movie schedules,,,,movie schedules,,,
108,Let me get the movie schedule for lunch time.,,lunch,,movie schedule,,,
109,What movies are playing in the area ,in the area,,,,,movies,
110,Find the schedule for films at Century Theatres .,,,,schedule,,films,Century Theatres
111,when can i see A Handful of Dust in a movie theatre,,,A Handful of Dust,,movie theatre,,
112,Which movies are playing at the closest  cinema ?,closest,,,,cinema,movies,
113,what's the movie schedules for in the neighborhood at the movies,in the neighborhood,,,movie schedules,,movies,
114,Show me movie times for animated movies playing three hours from now  in the neighbourhood .,in the neighbourhood,three hours from now,,movie times,,animated movies,
115,What are the movie times for films playing in the area ?,in the area,,,movie times,,films,
116,List movie schedule,,,,movie schedule,,,
117,show me movies  in the area,in the area,,,,,movies,
118,Which animated movies are showing at the Neighborhood Cinema Group ?,,,,,,animated movies,Neighborhood Cinema Group
119,What films are playing at the nearest  movie theatre,nearest,,,,movie theatre,films,
120,What time is film showing at Southern Theatres,,,,,,film,Southern Theatres
121,Find movie times for Alamo Drafthouse Cinema at 10:37 P.M. .,,10:37 P.M.,,movie times,,,Alamo Drafthouse Cinema
122,What time is I Know That You Know That I Know lpaying,,,I Know That You Know That I Know,,,,
123,Show me the films currently playing at the nearest  movie theatre,nearest,,,,movie theatre,films,
124,show the movies at the nearest  movie house,nearest,,,,movie house,movies,
125,What cinema is The Railway Children,,,The Railway Children,,cinema,,
126,What are the movie times for movies  around here,around here,,,movie times,,movies,
127,Where is The Beach of Lost Children playing,,,The Beach of Lost Children,,,,
128,I'd like to see the showtimes for Silly Movie 2.0 at the movie house,,,Silly Movie 2.0,,movie house,,
129,11 seconds from now find a cinema with First Monday in October,,11 seconds from now,First Monday in October,,cinema,,
130,Is The King of the Kitchen playing in fifteen hours ?,,in fifteen hours,The King of the Kitchen,,,,
131,What movies are going to be screened at Caribbean Cinemas at fourteen o'clock ?,,fourteen o'clock,,,,movies,Caribbean Cinemas
132,What time is Goodbye Mothers playing?,,,Goodbye Mothers,,,,
133,show movie times for AMC Theatres,,,,movie times,,,AMC Theatres
134,What movie times start in 22 seconds at Magic Johnson Theatres,,in 22 seconds,,movie times,,,Magic Johnson Theatres
135,find films at Showcase Cinemas,,,,,,films,Showcase Cinemas
136,is The Couch Trip at the nearest  cinema,nearest,,The Couch Trip,,cinema,,
137,What time is High Tide at Noon showing,,,High Tide at Noon,,,,
138,What time is Chandranath playing MJR Theatres,,,Chandranath,,,,MJR Theatres
139,What are the movie schedules for the Dipson Theatres,,,,movie schedules,,,Dipson Theatres
140,What time is Death Nurse showing,,,Death Nurse,,,,
141,What is the movies playing at North American Cinemas,,,,,,movies,North American Cinemas
142,What time is Swarna Trishna playinh at Loews Cineplex,,,Swarna Trishna,,,,Loews Cineplex
143,find animated movies  nearest at a movie house,nearest,,,,movie house,animated movies,
144,What is the local movie schedule,,,,movie schedule,,,
145,find films in Cinemark Theatres,,,,,,films,Cinemark Theatres
146,What time are movies showing around here,around here,,,,,movies,
147,When is Romance on the Range playing at movie house ?,,,Romance on the Range,,movie house,,
148,What films are being shown at the National Amusements,,,,,,films,National Amusements
149,Where animated movies does North American Cinemas feature,,,,,,animated movies,North American Cinemas
150,find the nearest  movie theatre with The Witness Chair,nearest,,The Witness Chair,,movie theatre,,
151,When is The Prince Who Was a Thief playing at the cinema ?,,,The Prince Who Was a Thief,,cinema,,
152,Find the schedule for The Solitude of Prime Numbers at the nearest  cinema  in 1 hour .,nearest,in 1 hour,The Solitude of Prime Numbers,schedule,cinema,,
153,What movie schedules start at sunset ?,,sunset,,movie schedules,,,
154,Let me see the movie schedule for Seed of Chucky,,,Seed of Chucky,schedule,,,
155,movie schedules of movies  in the neighbourhood at zero am,in the neighbourhood,zero am,,movie schedules,,movies,
156,show movie times at sunrise,,sunrise,,movie times,,,
157,Show me the films at the closest  cinema,closest,,,,cinema,films,
158,find movies  around here,around here,,,,,movies,
159,show the movie schedule for 9 pm at Cobb Theatres,,9 pm,,movie schedule,,,Cobb Theatres
160,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,,,The Strange Case of the End of Civilization as We Know It,,movie theatre,,
161,What are the movie schedules for Speakeasy Theaters,,,,movie schedules,,,Speakeasy Theaters
162,What is the movie schedule for movies  in the neighborhood,in the neighborhood,,,movie schedule,,movies,
163,find The Dead Matter at Speakeasy Theaters,,,The Dead Matter,,,,Speakeasy Theaters
164,I'd like to watch May Blossom,,,May Blossom,,,,
165,What movies are playing at the closest  movie theatre,closest,,,,movie theatre,movies,
166,I'd like to watch A Storm in the Stars at North American Cinemas,,,A Storm in the Stars,,,,North American Cinemas
167,What time is The Grey Zone playing?,,,The Grey Zone,,,,
168,Will I be able to watch Camping-car at movie house at 6 pm ?,,6 pm,Camping-car,,movie house,,
169,What's the nearest  movie theatre playing Testament of Orpheus ?,nearest,,Testament of Orpheus,,movie theatre,,
170,find animated movie at Landmark Theatres,,,,,,animated movie,Landmark Theatres
171,Give me the movie times for Fox Theatres,,,,movie times,,,Fox Theatres
172,I'd like to watch animated movies at National Amusements,,,,,,animated movies,National Amusements
173,I'd like to watch Apocalypse 2024,,,Apocalypse 2024,,,,
174,I'd like to see Forgetting the Girl .,,,Forgetting the Girl,,,,
175,When is Blood and Ice Cream-trilogie playing at the nearest  movie theatre ?,nearest,,Blood and Ice Cream-trilogie,,movie theatre,,
176,show movie schedules,,,,movie schedules,,,
177,When is Bless the Child playing at the movie theatre,,,Bless the Child,,movie theatre,,
178,show movie schedule of films  in the area,in the area,,,movie schedule,,films,
179,Find the movie schedule .,,,,movie schedule,,,
180,Where is White Bim Black Ear,,,White Bim Black Ear,,,,
181,She me movie times,,,,movie times,,,
182,Find the movie times for Caribbean Cinemas .,,,,movie times,,,Caribbean Cinemas
183,Which movie theatre with Clean and Sober is closest to me?,closest,,Clean and Sober,,movie theatre,,
184,What time is The Crystal Gazer playing at the closest  cinema ?,closest,,The Crystal Gazer,,cinema,,
185,Where is Among the Great Apes with Michelle Yeoh playing and when,,,Among the Great Apes with Michelle Yeoh,,,,
186,find Lost in Space,,,Lost in Space,,,,
187,Find the movie schedule for the Cineplex Odeon Corporation .,,,,movie schedule,,,Cineplex Odeon Corporation
188,Show me the movie times ,,,,movie times,,,
189,What is the nearest  movie house playing Black Scorpion,nearest,,Black Scorpion,,movie house,,
190,Find the movie schedules for movies  close by,close by,,,movie schedules,,movies,
191,find Dipson Theatres with Swiss Army Man at 8 p.m.,,8 p.m.,Swiss Army Man,,,,Dipson Theatres
192,What time is Mon Amour: Shesher Kobita Revisited playing,,,Mon Amour: Shesher Kobita Revisited,,,,
193,What time are animated movies playing in the area ,in the area,,,,,animated movies,
194,show animated movie at Century Theatres,,,,,,animated movie,Century Theatres
195,find seven AM  movies at Dipson Theatres,,seven AM,,,,movies,Dipson Theatres
196,Is Prophecy playing at Malco Theatres,,,Prophecy,,,,Malco Theatres
197,I need a list of places in the area that I can see animated movies  in six minutes ,in the area,in six minutes,,,,animated movies,
198,List movie times at Cinemark Theatres,,,,movie times,,,Cinemark Theatres
199,Show me a movie theatre where Screamplay is playing,,,Screamplay,,movie theatre,,
200,Find movie times for Great Escape Theatres,,,,movie times,,,Great Escape Theatres
201,I'd like to watch movies  now right nearby,nearby,now,,,,movies,
202,Find the schedule for for The Day of the Jackal at Pacific Theatres .,,,The Day of the Jackal,schedule,,,Pacific Theatres
203,What time is Roy Colt & Winchester Jack playing at movie house,,,Roy Colt & Winchester Jack,,movie house,,
204,I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM,,04:08:11 AM,Abbott and Costello Meet the Keystone Kops,,,,Amco Entertainment
205,Find the movie schedule for B&B Theatres .,,,,movie schedule,,,B&B Theatres
206,Where is the nearest  cinema showing horror films today?,nearest,,,,cinema,films,
207,Show me the schedule for ArcLight Hollywood for animated movies,,,,schedule,,animated movies,ArcLight Hollywood
208,show movie times for movies  in the area,in the area,,,movie times,,movies,
209,What movies are playing one hour from now at Cooper Foundation ?,,one hour from now,,,,movies,Cooper Foundation
210,Find the schedule for Screen Souvenirs at Cinemark Theatres .,,,Screen Souvenirs,schedule,,,Cinemark Theatres
211,What's the closest  movie theatre that's showing Dough Nuts ?,closest,,Dough Nuts,,movie theatre,,
212,When is Ode to Billy Joe playing at the closest  movie house ?,closest,,Ode to Billy Joe,,movie house,,
213,Show me the movie schedules,,,,movie schedules,,,
214,Is The Wash playing at the cinema  in one minute,,in one minute,The Wash,,cinema,,
215,Is Fighting With Buffalo Bill playing at the closest  movie house,closest,,Fighting With Buffalo Bill,,movie house,,
216,find Plitt Theatres  movie schedules,,,,movie schedules,,,Plitt Theatres
217,What are the current movie schedules ?,,,,movie schedules,,,
218,What movie times are around here playing animated movies,around here,,,movie times,,animated movies,
219,where can i watch animated movies  around here,around here,,,,,animated movies,
220,Find the movie schedule for Century Theatres .,,,,movie schedule,,,Century Theatres
221,show movie schedule,,,,movie schedule,,,
222,Find a movie schedule .,,,,movie schedule,,,
223,Is Covered Wagon Days playing at B&B Theatres  in 1 second ?,,in 1 second,Covered Wagon Days,,,,B&B Theatres
224,find Regal Entertainment Group  animated movies,,,,,,animated movies,Regal Entertainment Group
225,What is the movie schedule for animated movies playing in the neighborhood ?,in the neighborhood,,,movie schedule,,animated movies,
226,Show me the current movie times,,,,movie times,,,
227,Find the movie schedule for Fox Theatres at supper time.,,supper,,movie schedule,,,Fox Theatres
228,What time is Hitman City playing,,,Hitman City,,,,
229,Can I get the movie schedules  in the neighbourhood for the newest films,in the neighbourhood,,,movie schedules,,films,
230,Are there any movies playing at 5 am at North American Cinemas ?,,5 am,,,,movies,North American Cinemas
231,Give me a list of films that play in the neighbourhood,in the neighbourhood,,,,,films,
232,i need movie times for films  in the neighbourhood ,in the neighbourhood,,,movie times,,films,
233,What films are playing at Pacific Theatres,,,,,,films,Pacific Theatres
234,What time is Living Is Easy with Eyes Closed playing,,,Living Is Easy with Eyes Closed,,,,
235,What time is Crush and Blush playing at Kerasotes Theatres,,,Crush and Blush,,,,Kerasotes Theatres
236,What time is The Rumyantsev Case playing at the closest  cinema,closest,,The Rumyantsev Case,,cinema,,
237,find Berlin to the Samba Beat,,,Berlin to the Samba Beat,,,,
238,Find the schedule for Project Shadowchaser II at the cinema  in eighteen hours .,,in eighteen hours,Project Shadowchaser II,schedule,cinema,,
239,I'd like showtimes for The Story of Wish You Were Here .,,,The Story of Wish You Were Here,,,,
240,"find the nearest place at four o'clock with a movie house showing Wow, The Kid Gang of Bandits",nearest,four o'clock,"Wow, The Kid Gang of Bandits",,movie house,,
241,find a movie theatre with Intersections that is nearest,nearest,,Intersections,,movie theatre,,
242,Show me the movie schedule for nearby  movies .,nearby,,,movie schedule,,movies,
243,What time is The Man Who Dared playing at the movie theatre ?,,,The Man Who Dared,,movie theatre,,
244,in the area find some films,in the area,,,,,films,
245,what are the movie times for Dickinson Theatres,,,,movie times,,,Dickinson Theatres
246,Let me know when I can watch Actrices .,,,Actrices,,,,
247,show the schedule of movie Unborn but Forgotten,,,Unborn but Forgotten,schedule,,,
248,What movies are starting in 1 second at a theater in the neighborhood ?,in the neighborhood,in 1 second,,,,movies,
249,show me the schedule of movie Michel Strogoff,,,Michel Strogoff,schedule,,,
250,find Dipson Theatres  animated movies,,,,,,animated movies,Dipson Theatres
251,What movie house is playing the animated movies  nearest ?,nearest,,,,movie house,animated movies,
252,Can I see the upcoming movie schedule ?,,,,movie schedule,,,
253,find a movie house  nearest for films,nearest,,,,movie house,films,
254,What films are playing at Dipson Theatres and when,,,,,,films,Dipson Theatres
255,Which animated movies are playing in the neighbourhood ?,in the neighbourhood,,,,,animated movies,
256,when is Good Will Evil playing at Loews Cineplex Entertainment,,,Good Will Evil,,,,Loews Cineplex Entertainment
257,What time is G-Men vs The Black Dragon playing at Harkins Theatres,,,G-Men vs The Black Dragon,,,,Harkins Theatres
258,What are the movie schedules at ArcLight Hollywood,,,,movie schedules,,,ArcLight Hollywood
259,show me the schedule of movies in Pacific Theatres,,,,schedule,,movies,Pacific Theatres
260,What time is AMC Theaters playing Unnikrishnante Adyathe Christmas,,,Unnikrishnante Adyathe Christmas,,,,AMC Theaters
261,What cinema is Health Warning playing in eleven hours ?,,in eleven hours,Health Warning,,cinema,,
262,Is Dummy playing at two a.m. ?,,two a.m.,Dummy,,,,
263,I'd like to see movie schedules for animated movies  around here,around here,,,movie schedules,,animated movies,
264,Find out what films are being played in the neighbourhood,in the neighbourhood,,,,,films,
265,"When is Fine, Totally Fine playing?",,,"Fine, Totally Fine",,,,
266,What films are playing in the neighbourhood,in the neighbourhood,,,,,films,
267,what day does the movie Star of the Circus play at ten PM,,ten PM,Star of the Circus,,,,
268,what time can i see Older Office Lady: Using Her Seductive Tongue at Star Theatres,,,Older Office Lady: Using Her Seductive Tongue,,,,Star Theatres
269,What movies are playing Douglas Theatre Company,,,,,,movies,Douglas Theatre Company
270,What time is Adam at Six A.M. playing,,,Adam at Six A.M.,,,,
271,Show me the closest  12 A.M. showing at a movie house of an animated movie,closest,12 A.M.,,,movie house,animated movie,
272,When and where can I watch National Priority ?,,,National Priority,,,,
273,Show me the new showings for animated movies  in the neighborhood,in the neighborhood,,,,,animated movies,
274,Where can I watch The Sword of Ali Baba at two p.m. ?,,two p.m.,The Sword of Ali Baba,,,,
275,show movie schedules for animated movies  in the neighbourhood,in the neighbourhood,,,movie schedules,,animated movies,
276,Is Sheikh Chilli playing,,,Sheikh Chilli,,,,
277,I'd like to watch Three Word Brand at the cinema,,,Three Word Brand,,cinema,,
278,Show me movie times for movies  in the neighborhood,in the neighborhood,,,movie times,,movies,
279,Find animated movies at Landmark Theatres at dinner time.,,dinner,,,,animated movies,Landmark Theatres
280,find animated movies  nearby,nearby,,,,,animated movies,
281,what's the movie schedule at National Amusements,,,,movie schedule,,,National Amusements
282,What is the movie schedule at MJR Theatres ?,,,,movie schedule,,,MJR Theatres
283,What movie times,,,,movie times,,,
284,show me the schedule of films in Cobb Theatres,,,,schedule,,films,Cobb Theatres
285,What time is The Toll of the Sea playing,,,The Toll of the Sea,,,,
286,ticket for The Perfect Man at Dickinson Theatres at 10 A.M.,,10 A.M.,The Perfect Man,,,,Dickinson Theatres
287,movie schedules for animated movies playing in the neighbourhood,in the neighbourhood,,,movie schedules,,animated movies,
288,What is the nearest  movie theatre playing Kate y Leopold ?,nearest,,Kate y Leopold,,movie theatre,,
289,Find movie times for Century Theatres .,,,,movie times,,,Century Theatres
290,Where can I see Joy of Learning ?,,,Joy of Learning,,,,
291,What films are at IMAX Corporation at 11 p.m.,,11 p.m.,,,,films,IMAX Corporation
292,Where is Nichiren to Mōko Daishūrai playing,,,Nichiren to Mōko Daishūrai,,,,
293,Find me showtimes for animated movies  in the neighbourhood .,in the neighbourhood,,,,,animated movies,
294,find movie schedule in Pacific Theatres,,,,movie schedule,,,Pacific Theatres
295,Does Pacific Theatres have animated movies starting in 1 minute ?,,in 1 minute,,,,animated movies,Pacific Theatres
296,Where is Shake Your Powder Puff playing,,,Shake Your Powder Puff,,,,
297,I'd like to watch The Slender Thread at 6 PM,,6 PM,The Slender Thread,,,,
298,Where is the closest  cinema that features animated movies,closest,,,,cinema,animated movies,
299,Is The Young Guard playing at the closest  cinema,closest,,The Young Guard,,cinema,,
300,What movies are playing at the nearest  cinema,nearest,,,,cinema,movies,
301,Find out what films are playing at North American Cinemas,,,,,,films,North American Cinemas
302,can i have the local movie times,,,,movie times,,,
303,I'm wondering what movies will be laying around here .,around here,,,,,movies,
304,Please show me the movie schedule for animated movies playing in the neighborhood .,in the neighborhood,,,movie schedule,,animated movies,
305,what movie is at Loews Cineplex Entertainment,,,,,,movie,Loews Cineplex Entertainment
306,find National Amusements showing The Trouble with Harry,,,The Trouble with Harry,,,,National Amusements
307,find The Good Girl at a movie house ,,,The Good Girl,,movie house,,
308,Can I get the Butterfly Crush showings,,,Butterfly Crush,,,,
309,Tell me the closest  movie house playing Black Rage,closest,,Black Rage,,movie house,,
310,show me the schedule of movie The Da Vinci Code,,,The Da Vinci Code,schedule,,,
311,What are the movie schedules for the Caribbean Cinemas,,,,movie schedules,,,Caribbean Cinemas
312,Find the movie times  now .,,now,,movie times,,,
313,When is The Blood of Others playing?,,,The Blood of Others,,,,
314,Where is The Toxic Avenger II playing,,,The Toxic Avenger II,,,,
315,When is The Woman going to be scheduled at the closest  movie house ?,closest,,The Woman,,movie house,,
316,Can I see movie schedules for movies this evening  in the neighbourhood ?,in the neighbourhood,evening,,movie schedules,,movies,
317,List movie schedule .,,,,movie schedule,,,
318,Show me movie schedules,,,,movie schedules,,,
319,Are any animated movies scheduled for release in Mann Theatres ?,,,,,,animated movies,Mann Theatres
320,I need to know when Sensation in Morgan’s Creek is playing,,,Sensation in Morgan’s Creek,,,,
321,find On Dress Parade,,,On Dress Parade,,,,
322,What are the movie schedules for movies playing in the neighborhood ,in the neighborhood,,,movie schedules,,movies,
323,show movie schedule at Cinemark Theatres,,,,movie schedule,,,Cinemark Theatres
324,movie schedule of films  around here,around here,,,movie schedule,,films,
325,Which animated movies are playing in the neighbourhood and when?,in the neighbourhood,,,,,animated movies,
326,Can i get the movie schedules for Speakeasy Theaters ?,,,,movie schedules,,,Speakeasy Theaters
327,What time is Sontha Ooru playing,,,Sontha Ooru,,,,
328,What time is Doc Savage: The Man of Bronze playing,,,Doc Savage: The Man of Bronze,,,,
329,Let me know when The Maiden Danced to Death will be screened at a cinema .,,,The Maiden Danced to Death,,cinema,,
330,where can i watch Willy Wonka & the Chocolate Factory,,,Willy Wonka & the Chocolate Factory,,,,
331,find Death Is Called Engelchen at Neighborhood Cinema Group,,,Death Is Called Engelchen,,,,Neighborhood Cinema Group
332,What movie theatre playing animated movies is the closest,closest,,,,movie theatre,animated movies,
333,when can i see Dinosaur from the Deep,,,Dinosaur from the Deep,,,,
334,find Careless Love,,,Careless Love,,,,
335,When is The Bleeding House playing at Amco Entertainment ?,,,The Bleeding House,,,,Amco Entertainment
336,What are the movie times ,,,,movie times,,,
337,what movies are showing in the neighbourhood,in the neighbourhood,,,,,movies,
338,Check the movie timings for Cracked Nuts at Southern Theatres .,,,Cracked Nuts,,,,Southern Theatres
339,What film is playing in the neighbourhood,in the neighbourhood,,,,,film,
340,Fine the movie schedule for Warren Theatres .,,,,movie schedule,,,Warren Theatres
341,Fine movie times for Loews Cineplex Entertainment .,,,,movie times,,,Loews Cineplex Entertainment
342,When is The Blood Stain playing at the movie house ?,,,The Blood Stain,,movie house,,
343,find a movie schedule  in the neighborhood for films,in the neighborhood,,,movie schedule,,films,
344,Can I get the movie schedule for Loews Cineplex Entertainment ?,,,,movie schedule,,,Loews Cineplex Entertainment
345,show me the movie schedule,,,,movie schedule,,,
346,Please tell me movie times,,,,movie times,,,
347,show me the schedule of movie Interview: The Documentary in Loews Cineplex,,,Interview: The Documentary,schedule,,,Loews Cineplex
348,find Heat Wave,,,Heat Wave,,,,
349,I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest  cinema,nearest,,Abbott and Costello Meet Captain Kidd,,cinema,,
350,What films are playing around here,around here,,,,,films,
351,find Kerasotes Theatres showing animated movies,,,,,,animated movies,Kerasotes Theatres
352,What time is Project Censored the Movie playing at the movie house,,,Project Censored the Movie,,movie house,,
353,Is The Skull playing at Loews Cineplex,,,The Skull,,,,Loews Cineplex
354,Which movies are being screened around here ?,around here,,,,,movies,
355,give me the movie schedule for films  in the area ,in the area,,,movie schedule,,films,
356,I need information on movie schedules,,,,movie schedules,,,
357,She me that movie schedule,,,,movie schedule,,,
358,What are the selections of films that are being shown at Cinemark Theatres ?,,,,,,films,Cinemark Theatres
