,text,artist,entity_name,playlist_owner,playlist,music_item
99,put this album into becky's  infinite indie folk playlist,,,becky's,infinite indie folk,album
100,Add Yuna Ito to the hot rods & horror shows playlist.,Yuna Ito,,,hot rods & horror shows,
101,add the artist  Ruby to my  digging now list,Ruby,,my,digging now,artist
102,add this tune to my  It's a Southern Thing playlist,,,my,It's a Southern Thing,tune
103,Add the album to the top 100 country tracks on spotify playlist.,,,,top 100 country tracks on spotify,album
104,Add this track to the classical music for smart kids playlist,,,,classical music for smart kids,track
105,Add an album to corinne's  Beast Mode playlist.,,,corinne's,Beast Mode,album
106,Include the album by Arthur Rhames in Urban Poet,Arthur Rhames,,,Urban Poet,album
107,I need to add to the all things post starting with my favorites from the silence,,the silence,my,all things post,
108,add Nothing Fancy to Meditate to Sounds of Nature playlist,,Nothing Fancy,,Meditate to Sounds of Nature,
109,Add CJ Snare to my  indie mim playlist,CJ Snare,,my,indie mim,
110,Add Ernie Hawkins to the Dubstep playlist.,Ernie Hawkins,,,Dubstep,
111,Please put this song onto my  Urban Hits playlist.,,,my,Urban Hits,song
112,add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,,The Spine Surfs Alone,my,The Funny Thing About Football Is,
113,Add Ajoy Chakrabarty to women of country playlist,Ajoy Chakrabarty,,,women of country,
114,add this song to brooklyn beat,,,,brooklyn beat,song
115,Can you add some disco to my playlist called Genuine R&B,,disco,my,Genuine R&B,
116,add Anthony Hamilton to my list Women of Hip Hop,Anthony Hamilton,,my,Women of Hip Hop,
117,Add As I Was Going to St Ives to the fantasÃ­a playlist.,,As I Was Going to St Ives,,fantasÃ­a,
118,put paula abdul on Musica EspaÃ±ola 2017,paula abdul,,,Musica EspaÃ±ola 2017,
119,Add the entity Por una cabeza to my playlist Forever Alone,,Por una cabeza,my,Forever Alone,
120,Add track to Afternoon Train Ride,,,,Afternoon Train Ride,track
121,Add silver apples to teh sin estrÃ©s playlist.,,silver apples,,sin estrÃ©s,
122,Please add this song to my  llegando a casa palylist,,,my,llegando a casa,song
123,Add the song to the martin garrix show playlist,,,,the martin garrix show,song
124,Add more David Wolfenberger to my  Duetos playlist.,David Wolfenberger,,my,Duetos,
125,I want to add Club Mix to the playlist with the title 50 ClÃ¡sicos,,Club Mix,,50 ClÃ¡sicos,
126,add Eric Bibb to Country Coffeehouse,Eric Bibb,,,Country Coffeehouse,
127,Add gregg bissonette to my  US Latin Top 50 playlist,gregg bissonette,,my,US Latin Top 50,
128,add track  70s smash hits to my,,,my,70s smash hits,track
129,add this album to my  Blues playlist,,,my,Blues,album
130,I want this song on the playlist called chill vibes,,,,chill vibes,song
131,Add this adam clayton  tune to sxsw fresh playlist,adam clayton,,,sxsw fresh,tune
132,add this teddy charles  album to this is pavarotti  my playlist,teddy charles,,my,this is pavarotti,album
133,Can you add confessions to my playlist called ClÃ¡sica,,confessions,my,ClÃ¡sica,
134,Please add tobymac 's song onto the indiespensables playlist.,tobymac,,,indiespensables,song
135,add an album to playlist Emily Dickinson,,,,Emily Dickinson,album
136,Add Buddy DeSylva to my  this is j balvin playlist,Buddy DeSylva,,my,this is j balvin,
137,ad Czarna dziewczyna to instrumental madness playlist,,Czarna dziewczyna,,instrumental madness,
138,I want to add this song to my  Infantil playlist,,,my,Infantil,song
139,add vera to my  80's Jam Session playlist,,vera,my,80's Jam Session,
140,add A Compilation of Warped Music II to workout twerkout playlist,,A Compilation of Warped Music II,,workout twerkout,
141,Add a track to my list Made in Puerto Rico,,,my,Made in Puerto Rico,track
142,add this track to my  epic wall of sound playlist,,,my,epic wall of sound,track
143,add Michael LePond to electronic bliss,Michael LePond,,,electronic bliss,
144,Add angela au to the playlist radar latino,angela au,,,radar latino,
145,add artist  abdel halim hafez to my  conexiones playlist,abdel halim hafez,,my,conexiones,artist
146,Add track to this is puccini,,,,this is puccini,track
147,I need to add a song to my  lo que suena new york playlist.,,,my,lo que suena new york,song
148,Add this artist to this is Rosana,,,,this is Rosana,artist
149,add Joelia Savitsjeva in 88 keys,Joelia Savitsjeva,,,88 keys,
150,add alain caron to my  travelling playlist,alain caron,,my,travelling,
151,Add the r l burnside  album to my  Nothing But A Party R&B playlist,r l burnside,,my,Nothing But A Party R&B,album
152,add Steve Jordan to inez's  tgif,Steve Jordan,,inez's,tgif,
153,Add to my playlist all funked up this track,,,my,all funked up,track
154,add satisfied to my  Rockin' Vibes playlist,,satisfied,my,Rockin' Vibes,
155,add this artist named Prince to the playlist all new all now,Prince,,,all new all now,artist
156,add billy strayhorn to my  highway 61 playlist,billy strayhorn,,my,highway 61,
157,Add ramble on to Halloween Teens,,ramble on,,Halloween Teens,
158,add this song to Rock Party,,,,Rock Party,song
159,I want to add lady maisry to my playlist lo que suena new york,,lady maisry,my,lo que suena new york,
160,I want to add an album to noreen's  endorphin rush playlist.,,,noreen's,endorphin rush,album
161,Add Famous to my playlist lo que suena new york,,Famous,my,lo que suena new york,
162,Add shawn camp to my  soulful disco playlist.,shawn camp,,my,soulful disco,
163,add bonobo to queen playlis,bonobo,,,queen,
164,add hold my liquor to electroNOW,,hold my liquor,,electroNOW,
165,Add Tobias Sammet to my  bring back the 90s list,Tobias Sammet,,my,bring back the 90s,
166,Add Jack Be Nimble to my  reggae bombastic list,,Jack Be Nimble,my,reggae bombastic,
167,add jan smit in endorphin rush,jan smit,,,endorphin rush,
168,add Rupee to my  Ultra Metal playlist,Rupee,,my,Ultra Metal,
169,Please add Liberty Forever to the road trip playlist.,,Liberty Forever,,road trip,
170,Add gene clark to diann's  chill out list,gene clark,,diann's,chill out,
171,Put another track in my  electronica & dance playlist.,,,my,electronica & dance,track
172,add the tune to the Indie Workout playlist,,,,Indie Workout,tune
173,Add david henry hwang to the This Is Nicky Jam playlist.,david henry hwang,,,This Is Nicky Jam,
174,add this Jane Olivor  track to my  The Sleep Machine Waterscapes,Jane Olivor,,my,The Sleep Machine Waterscapes,track
175,I would like this artist on drum & breaks .,,,,drum & breaks,artist
176,Include dschiwan gasparjan in beth's  rare groove playlist.,dschiwan gasparjan,,beth's,rare groove,
177,I'd like to add the artist  Jesper Kyd onto my  fresh electronic playlist.,Jesper Kyd,,my,fresh electronic,artist
178,add Joplin in Concert to my  feel good dinner,,Joplin in Concert,my,feel good dinner,
179,add Harry J to my  dubstep dangles dirty,Harry J,,my,dubstep dangles dirty,
180,add Partners in Crime to joann's  Lo Que Suena Los Angeles,,Partners in Crime,joann's,Lo Que Suena Los Angeles,
181,add this song onto hip hop gaming playlist,,,,hip hop gaming,song
182,Add this artist to my  This Is Philip Glass playlist,,,my,This Is Philip Glass,artist
183,I want to put look to you on the playlist named 80s Classic Hits,,look to you,,80s Classic Hits,
184,add No Secrets to power gaming playlist,No Secrets,,,power gaming,
185,Add track to Hit Remix,,,,Hit Remix,track
186,add ali lohan songs in Club Hits,ali lohan,,,Club Hits,
187,Add this tune to retrowave outrun,,,,retrowave outrun,tune
188,Add a track from The Edge to my  funk soul disco playlist,The Edge,,my,funk soul disco,track
189,add hold tight to my  throwback party,,hold tight,my,throwback party,
190,put Do You Love Me on my  acoustic soul playlist,,Do You Love Me,my,acoustic soul,
191,Add the name The 3rd World to the playlist Rock Me UP,,The 3rd World,,Rock Me UP,
192,Add this tune to my playlist named Women of Fresh Finds,,,my,Women of Fresh Finds,tune
193,add tune to atmospheric black metal playlist,,,,atmospheric black metal,tune
194,Add sammy hagar to Ultra Metal,sammy hagar,,,Ultra Metal,
195,Add 2120 south michigan avenue to my  laundry playlist,,2120 south michigan avenue,my,laundry,
196,Add Turk to the deep house playlist,Turk,,,deep house,
197,Add the name Not Fade Away to the playlist the midnight hour,,Not Fade Away,,the midnight hour,
198,add the artist to the 90's Baby Makers playlist,,,,90's Baby Makers,artist
199,Add parempi mies to the CafÃ© con Leche playlist.,,parempi mies,,CafÃ© con Leche,
200,Place this tune onto my  dinner for 2 playlist.,,,my,dinner for 2,tune
201,Add Exit to i love my 80's rollerdisco list,,Exit,,i love my 80's rollerdisco,
202,add darkest angels to my  SOS 48 2016,,darkest angels,my,SOS 48 2016,
203,Please put another tune into the laundry playlist.,,,,laundry,tune
204,add global underground 006 sydney to my  Best Metal of the New Millennium,,global underground 006 sydney,my,Best Metal of the New Millennium,
205,Add BSlade to women of k-pop playlist,BSlade,,,women of k-pop,
206,Add a bill deasy  track to the conexiones playlist.,bill deasy,,,conexiones,track
207,Add J J Cale to my  heavy gamer playlist.,J J Cale,,my,heavy gamer,
208,add album to metal overload playlist,,,,metal overload,album
209,Add the Keep Your Receipt EP to my  Digster Reggae playlist.,,Keep Your Receipt EP,my,Digster Reggae,
210,add country nights by A Journal of the Plague Year to playlist,,A Journal of the Plague Year,,country nights,
211,add ian gillan to my  Rock Party,ian gillan,,my,Rock Party,
212,Add Paul Young to my  Retrovisor,Paul Young,,my,Retrovisor,
213,Add nana tanimura to a sudden rainstorm,nana tanimura,,,a sudden rainstorm,
214,add Viktor Tsoi to my  sweet soul chillout playlist,Viktor Tsoi,,my,sweet soul chillout,
215,I want glam added to the ntc gym strong playlist,,glam,,ntc gym strong,
216,add this Ricardo Villalobos  track to under the surface,Ricardo Villalobos,,,under the surface,track
217,I want to add a song by w c clark to my  nerding around playlist,w c clark,,my,nerding around,song
218,Add connee boswell to the relaxing playlist.,connee boswell,,,relaxing,
219,Add Nicole Mitchell to my  Soul Revived list,Nicole Mitchell,,my,Soul Revived,
220,add artist to lo mejor de los 00's,,,,lo mejor de los 00's,artist
221,this track should go on my  evening chill playlist,,,my,evening chill,track
222,Add Claudine Longet to my  Ultimate 00s palylist,Claudine Longet,,my,Ultimate 00s,
223,add a mina caputo  album to my  after hours party ,mina caputo,,my,after hours party,album
224,Put frank portman in my playlist GOOD Music,frank portman,,my,GOOD Music,
225,Put this track from The Edge on my  funk soul disco playlist,The Edge,,my,funk soul disco,track
226,Add a Jang Nara  track to the hip hop gaming playlist.,Jang Nara,,,hip hop gaming,track
227,add kurious jorge to my  synth pop,kurious jorge,,my,synth pop,
228,add songs in 90's hip hop of artist,,,,90's hip hop,artist
229,Add Step to Me to the 50 ClÃ¡sicos playlist.,,Step to Me,,50 ClÃ¡sicos,
230,Add this track to the Sunshine Reggae playlist,,,,Sunshine Reggae,track
231,put this whole album on the playlist called old school metal,,,,old school metal,album
232,Add De Principii Evangelikum to my  Domingo Indie palylist,,De Principii Evangelikum,my,Domingo Indie,
233,add back at the velvet lounge to my  cleaning playlist,,back at the velvet lounge,my,cleaning,
234,add Hemanta Kumar Mukhopadhyay  album in Funky Jams,Hemanta Kumar Mukhopadhyay,,,Funky Jams,album
235,add track to kickass metal,,,,kickass metal,track
236,Add song to my  Pop Brasil,,,my,Pop Brasil,song
237,Please add Ruud Jolie to my playlist Guest List Polygon,Ruud Jolie,,my,Guest List Polygon,
238,Put this agent m  tune onto de cantautor espaÃ±ol .,agent m,,,de cantautor espaÃ±ol,tune
239,add this tune by Kurt James to the playlist latin pop classics,Kurt James,,,latin pop classics,tune
240,Include When I Paint My Masterpiece in my  Acoustic Spring playlist.,,When I Paint My Masterpiece,my,Acoustic Spring,
241,add ths album to my  Pachangueo Total,,,my,Pachangueo Total,album
242,add repent replenish repeat to Classical Moments in Movies ,,repent replenish repeat,,Classical Moments in Movies,
243,Add this song to this is no te va gustar playlist,,,,this is no te va gustar,song
244,add 157 Riverside Avenue to leticia's  animal humor playlist,,157 Riverside Avenue,leticia's,animal humor,
245,add tune to Composer Weekly Pauline Oliveros playlist,,,,Composer Weekly Pauline Oliveros,tune
246,Add Stuck on Nothing to my  Sax and the City playlist,,Stuck on Nothing,my,Sax and the City,
247,add armistead burwell smith iv to Blues Masters,armistead burwell smith iv,,,Blues Masters,
248,add an album in my playlist In The Name Of Blues,,,my,In The Name Of Blues,album
249,put United Abominations onto my  rare groove playlist,,United Abominations,my,rare groove,
250,Add LaGaylia Frazier to my  emotron,LaGaylia Frazier,,my,emotron,
251,I want to add a song by w c clark to my  nerding around playlist,w c clark,,my,nerding around,song
252,add a shot at glory to calm before the storm,,a shot at glory,,calm before the storm,
253,add this artist to the playlist called Fusion Fest,,,,Fusion Fest,artist
254,add song to my  mellow beats list,,,my,mellow beats,song
255,Add Don and Sherri to the electrosafari playlist.,,Don and Sherri,,electrosafari,
256,Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,jessica mauboy,,my,a sudden rainstorm,song
257,add M-CABI to the playlist named Pre-Party R&B Jams,,M-CABI,,Pre-Party R&B Jams,
258,Add a song to in residence metal hammer episode 6,,,,in residence metal hammer episode 6,song
259,Add The Stars and Stripes Forever to the soulful disco playlist.,,The Stars and Stripes Forever,,soulful disco,
260,Add beijing huanying ni to my  workday lounge playlist,,beijing huanying ni,my,workday lounge,
261,I want to add a track to my  Evening Groove playlist,,,my,Evening Groove,track
262,add How to sos 48 2016 playlist,,How,,sos 48 2016,
263,Can you put dj kay slay onto the 2010 Decade playlist?,dj kay slay,,,2010 Decade,
264,Add Fabri Fibra to evening acoustic,Fabri Fibra,,,evening acoustic,
265,add this tune to Escapada,,,,Escapada,tune
266,Add the unraveling to marina's playlist It's a Southern Thing,,the unraveling,marina's,It's a Southern Thing,
267,put this artist into my  found them first playlist please,,,my,found them first,artist
268,add Stephen McNally to Confidence Boost,Stephen McNally,,,Confidence Boost,
269,add Paul Franklin to my  The Bachelor Party,Paul Franklin,,my,The Bachelor Party,
270,Add a track to the Another Glass playlist.,,,,Another Glass,track
271,Please add a track by david freiberg to my  workout playlist.,david freiberg,,my,workout,track
272,Add this artist to my  feel good dinner playlist,,,my,feel good dinner,artist
273,add vintage 74 to my mother's  Primavera Sound 2016 Barcelona playlist,,vintage 74,my mother's,Primavera Sound 2016 Barcelona,
274,Add an album by cowboy troy to my  piano in the background playlist.,cowboy troy,,my,piano in the background,album
275,Add Hatfield and the North to my  Hot House playlist.,,Hatfield and the North,my,Hot House,
276,Add tour generaciÃ³n rbd en vivo to the roadrunner rec new releases playlist.,,tour generaciÃ³n rbd en vivo,,roadrunner rec new releases,
277,I want global top 50 to have marit bergman added to it.,marit bergman,,,global top 50,
278,Add The Block Brochure Welcome to the Soil 6 onto my  CafÃ© con Leche list,,The Block Brochure Welcome to the Soil 6,my,CafÃ© con Leche,
279,add paul wright  album to 90s Smash Hits playlist,paul wright,,,90s Smash Hits,album
280,Add an artist to my playlist This Is Verdi,,,my,This Is Verdi,artist
281,Add a tune to the this is animal collective playlist.,,,,this is animal collective,tune
282,Add this marilyn manson  tune to Latin Party Anthems,marilyn manson,,,Latin Party Anthems,tune
283,Add Dickey Betts to my  throwback thursday playlist.,Dickey Betts,,my,throwback thursday,
284,add the album by Cham to my  Cloud Rap playlist,Cham,,my,Cloud Rap,album
285,Add Atticus Ross to the electrosafari playlist,Atticus Ross,,,electrosafari,
286,add this artist to Spain Top 50,,,,Spain Top 50,artist
287,Put Lindsey Cardinale into my  hillary clinton's women's history month playlist .,Lindsey Cardinale,,my,hillary clinton's women's history month playlist,
288,Add A Gate Through Bloodstained Mirrors to feelin' good playlist,,A Gate Through Bloodstained Mirrors,,feelin' good,
289,Put some frank ferrer into my  edna st vincent millay playlist.,frank ferrer,,my,edna st vincent millay,
290,Add Madman to Trap Land playlist,,Madman,,Trap Land,
291,add chas chandler to my  Aux Cord Privileges,chas chandler,,my,Aux Cord Privileges,
292,put Kan Mikami on Pre-Party R&B Jams,Kan Mikami,,,Pre-Party R&B Jams,
293,add let the season in to my  lo-fi love,,let the season in,my,lo-fi love,
294,Add this track to the 70s smash hits playlist,,,,70s smash hits,track
295,put any Andrew Hurley  album onto timeless love songs,Andrew Hurley,,,timeless love songs,album
296,add Be Yourself Tonight to I Love My 90s Hip Hop,,Be Yourself Tonight,,I Love My 90s Hip Hop,
297,add track to my  Las Canciones MÃ¡s Lindas Del Mundo playlist,,,my,Las Canciones MÃ¡s Lindas Del Mundo,track
298,add this Roy Orbison  song onto Women of Comedy,Roy Orbison,,,Women of Comedy,song
299,Add artist to laundry,,,,laundry,artist
300,Add A Bum Note and a Bead of Sweat to my  Stress Relief playlist,,A Bum Note and a Bead of Sweat,my,Stress Relief,
301,Add sara hickman to my  Targeted list,sara hickman,,my,Targeted,
302,Add Jonathan Arons to my  Indie Electronics playlist,Jonathan Arons,,my,Indie Electronics,
303,add track to my  Cloud Rap,,,my,Cloud Rap,track
304,add this song to my playlist under Funky Jams,,,my,Funky Jams,song
305,Add Mary Wells Sings My Guy to the electro sur playlist.,,Mary Wells Sings My Guy,,electro sur,
306,add tune to Soft Rock playlist,,,,Soft Rock,tune
307,add d-day dodgers to my  running power playlist,,d-day dodgers,my,running power,
308,I want a song by john schlitt in the bajo las estrellas playlist.,john schlitt,,,bajo las estrellas,song
309,Add vikku vinayakram to my  This Is Nicky Jam,vikku vinayakram,,my,This Is Nicky Jam,
310,add Bossa Nova Soul Samba to my  jukebox boogie rhythm & blues playlist,,Bossa Nova Soul Samba,my,jukebox boogie rhythm & blues,
311,Add brad kane to the Pumping Iron soundtrack.,brad kane,,,Pumping Iron,
312,Please add this song to indiespain list,,,,indiespain,song
313,Add od mene se odvikavaj to my  laundry,,od mene se odvikavaj,my,laundry,
314,add this artist to Dubstep,,,,Dubstep,artist
315,Add the tune to Your Favorite Slaughterhouse playlist.,,,,Your Favorite Slaughterhouse,tune
316,Add song to Siesta,,,,Siesta,song
317,Put Lullaby of Birdland onto fusion fest .,,Lullaby of Birdland,,fusion fest,
318,put Sarah Blasko onto my  The MetalSucks Playlist ,Sarah Blasko,,my,The MetalSucks Playlist,
319,I want another track added to the Korean OSTs playlist.,,,,Korean OSTs,track
320,Add Cream to the funk playlist.,,Cream,,funk,
321,Add Take Me Back to Dear Old Blighty to my  dinner playlist,,Take Me Back to Dear Old Blighty,my,dinner,
322,add this tune to the Deep Dark Indie Folk playlist,,,,Deep Dark Indie Folk,tune
323,add this gisela  song to my  dancehall official,gisela,,my,dancehall official,song
324,Add histoire de melody nelson to my  90's Baby Makers playlist,,histoire de melody nelson,my,90's Baby Makers,
325,add this tune to my  road trip playlist,,,my,road trip,tune
326,Add tune to infinite indie folk,,,,infinite indie folk,tune
327,add album to Ultra Metal,,,,Ultra Metal,album
328,I'd like to add this album to funtime .,,,,funtime,album
329,add tune to punk espaÃ±ol,,,,punk espaÃ±ol,tune
330,I want to add In the Mood to my playlist called My Folksy Love,,In the Mood,my,My Folksy Love,
331,Put this Jerry Dixon  song onto my  Tokyo Rising playlist.,Jerry Dixon,,my,Tokyo Rising,song
332,add grim skunk to Duetos,,grim skunk,,Duetos,
333,"Add jennie, jennie to my  metal playlist",,"jennie, jennie",my,metal,
334,add DÃ­as Felices to my  todo reggaeton playlist,,DÃ­as Felices,my,todo reggaeton,
335,Add Candlelight to my  House Afterwork playlist.,,Candlelight,my,House Afterwork,
336,Add Us Placers to my  new boots,,Us Placers,my,new boots,
337,add this track by clem burke to my  atmospheric black metal playlist,clem burke,,my,atmospheric black metal,track
338,add Mayya to the de manhattan con amor playlist,,Mayya,,de manhattan con amor,
339,Add the Nastya Kamenskih  song to my  The Martin Garrix Show playlist.,Nastya Kamenskih,,my,The Martin Garrix Show,song
340,Add artist to playlist Epic Gaming,,,,Epic Gaming,artist
341,Add robin s to sxsw latin,robin s,,,sxsw latin,
342,Put this tune onto the signed xoxo playlist.,,,,signed xoxo,tune
343,add olympia 1959 to from the delta to chicago,,olympia 1959,,from the delta to chicago,
344,The enamorÃ¡ndose playlist needs another album .,,,,enamorÃ¡ndose,album
345,add song to Rocksteady playlist,,,,Rocksteady,song
346,add Funtwo to disco fever  track ,Funtwo,,,disco fever,track
347,I'd like to add this album to my  Siesta playlist,,,my,Siesta,album
348,Add Kevin Cadogan to the 80s Classic Hits list,Kevin Cadogan,,,80s Classic Hits,
349,add the artist to my  Spooning playlist,,,my,Spooning,artist
350,Add this Alan Wilson  track to my  This Is Luis Fonsi playlist,Alan Wilson,,my,This Is Luis Fonsi,track
351,For my playlist Wild Country add a great day for freedom,,a great day for freedom,my,Wild Country,
